graph,visible_windows,alpha,beta,fit_status,fallback_used,objective,AE2,ProfileAE,signed_rho2
dev:pool-v3-panel888-20260921_dar_dev_0012,3,0.6436650729397737,8.212988474015914,flatness_unavailable,False,782.4692006598025,0.0055202160738801465,0.008020716381805518,-0.0055202160738801465
dev:pool-v3-panel888-20260921_dar_dev_0013,3,0.7485962691858965,5.051816562785615,flatness_unavailable,False,1246.439164380645,0.03011490153766666,0.01928325932565749,0.03011490153766666
dev:pool-v3-panel888-20260921_dar_dev_0014,3,0.21794650456739784,3.2721552550969513,flatness_unavailable,False,2361.3799174352403,0.023952458913459984,0.02350896466288424,0.023952458913459984
dev:pool-v3-panel888-20260921_dar_dev_0015,3,7.334659174933842e-06,1.1937509241458408,boundary_other,False,168.6175598772,0.006937040544074291,0.035678493150450755,-0.006937040544074291
dev:pool-v3-panel888-20260921_dar_dev_0016,3,0.3300102303502535,1.5604213728370786,flatness_unavailable,False,4360.032490944445,0.030304366087700152,0.047477096628277926,0.030304366087700152
dev:pool-v3-panel888-20260921_dar_dev_0017,3,0.13595829066904558,0.628921163836023,flatness_unavailable,False,205.46830683292322,0.06308240779350449,0.08093484925562709,0.06308240779350449
dev:pool-v3-panel888-20260921_dar_dev_0018,3,0.048938117181116646,0.5425545462721462,flatness_unavailable,False,344.4146030672666,0.043050458190794116,0.07984727316068588,0.043050458190794116
dev:pool-v3-panel888-20260921_dar_dev_0019,3,1.0388801389331193e-06,0.16908271716470177,boundary_other,False,1117.6857933843064,0.03147935038701788,0.09065933497934775,0.03147935038701788
dev:pool-v3-panel888-20260921_dar_dev_0020,3,0.30177189305950863,0.2700218155519531,flatness_unavailable,False,379.6548084055584,0.030898830940588984,0.11263172730507275,0.030898830940588984
dev:pool-v3-panel888-20260921_dar_dev_0021,3,4.356135635027784,14.913265116264503,flatness_unavailable,False,2072.564337979936,0.027323833937231423,0.008558543340526253,-0.027323833937231423
dev:pool-v3-panel888-20260921_dar_dev_0022,3,1.6980026043511094,6.087647724952808,flatness_unavailable,False,1648.5137163453915,0.0287475681286386,0.02263992697394191,0.0287475681286386
