graph,alpha,beta,fit_status,fallback_used,objective,AE2,ProfileAE,signed_rho2
dev:pool-v3-panel888-20260921_ad_dev_0009,0.0005673107186259386,92.33253767972987,boundary_other,False,606.610061531884,0.00023859979738413348,0.00012223538279282857,0.00023859979738413348
dev:pool-v3-panel888-20260921_ad_dev_0010,5.327719113575228,88.31166905039252,flatness_unavailable,False,4663.696132024632,0.00023328181986778662,0.00026309750778059004,0.00023328181986778662
dev:pool-v3-panel888-20260921_ad_dev_0011,nan,nan,boundary_other,True,nan,0.00341809663237215,0.0017092503326054428,0.00341809663237215
dev:pool-v3-panel888-20260921_ad_dev_0012,0.497888554492674,30.38979915351617,flatness_unavailable,False,29480.05010863447,3.620852446405143e-05,6.741935766601588e-05,3.620852446405143e-05
dev:pool-v3-panel888-20260921_ad_dev_0013,2.197947378482189,87.94949963532554,flatness_unavailable,False,10930.279347725856,1.284980991020368e-05,1.6231870325287964e-05,1.284980991020368e-05
dev:pool-v3-panel888-20260921_ad_dev_0014,nan,nan,boundary_other,True,nan,0.0009320547481721023,0.00046968083474223404,0.0009320547481721023
dev:pool-v3-panel888-20260921_ad_dev_0015,0.00040661149919346887,66.17796973980151,boundary_other,False,1657.5765989837819,0.0004479381060268038,0.000222204290066809,0.0004479381060268038
dev:pool-v3-panel888-20260921_ad_dev_0016,0.6180768910459795,53.877253809940726,flatness_unavailable,False,18349.048015408236,1.741675495655487e-05,2.6827918711814322e-05,1.741675495655487e-05
dev:pool-v3-panel888-20260921_ad_dev_0017,4.96779902896557,97.07968034924319,flatness_unavailable,False,10720.168440098087,2.419497095974832e-05,2.5681330579781028e-05,2.419497095974832e-05
dev:pool-v3-panel888-20260921_ad_dev_0018,nan,nan,starts_disagree,True,nan,0.0003819629467327994,0.0001909847337222345,0.0003819629467327994
dev:pool-v3-panel888-20260921_ad_dev_0019,8.369563301440963e-05,13.621865293941736,boundary_other,False,2386.8941567483203,0.0026079616001515316,0.0012856918701666528,0.0026079616001515316
dev:pool-v3-panel888-20260921_ad_dev_0020,1.359740668603359,31.92283569339639,flatness_unavailable,False,4683.988599787256,6.030541790832955e-05,7.436597333182048e-05,6.030541790832955e-05
dev:pool-v3-panel888-20260921_ad_dev_0021,0.4219514164779277,18.046165652425987,flatness_unavailable,False,21446.552404125658,1.0326233944035756e-05,5.5588574692180085e-05,-1.0326233944035756e-05
dev:pool-v3-panel888-20260921_ad_dev_0022,1.5517473229992989,4.535956750788751,flatness_unavailable,False,42427.487824856,0.0008916121397950505,0.0008382833637515172,-0.0008916121397950505
dev:pool-v3-panel888-20260921_ad_dev_0023,0.1387688642765783,24.751733475315586,flatness_unavailable,False,2020.863206836308,3.678746679317002e-05,6.310814103946504e-05,3.678746679317002e-05
dev:pool-v3-panel888-20260921_ad_dev_0024,0.9125214495022913,31.00320329382055,flatness_unavailable,False,42809.195479685906,1.8367488358747575e-05,2.1628063743503664e-05,1.8367488358747575e-05
dev:pool-v3-panel888-20260921_ad_dev_0025,6.896776117552465e-05,11.22483358475819,boundary_other,False,8615.767052926478,0.008445197018708439,0.004029209591984177,0.008445197018708439
dev:pool-v3-panel888-20260921_ad_dev_0026,2.9072658672093055,4.5073799836068185,flatness_unavailable,False,1228.092464626311,0.001755293838608618,0.0036362139431005535,-0.001755293838608618
dev:pool-v3-panel888-20260921_ad_dev_0027,2.2956864504793772,3.1198321142766905,flatness_unavailable,False,2540.914418936947,0.009125471620980985,0.0075940713221096905,0.009125471620980985
dev:pool-v3-panel888-20260921_ad_dev_0028,1.7129818996839592,3.384676094723124,flatness_unavailable,False,1938.1786946390305,0.003738109506320253,0.003742269562971832,-0.003738109506320253
dev:pool-v3-panel888-20260921_ad_dev_0029,2.049377141817025,1.619510635832844,flatness_unavailable,False,2461.9083472726684,0.004402162107366103,0.003352075185902692,0.004402162107366103
dev:pool-v3-panel888-20260921_ad_dev_0030,1.6809560346652537,1.6136086852010718,flatness_unavailable,False,3462.0541481107275,0.007032620719132465,0.009448880967341387,0.007032620719132465
dev:pool-v3-panel888-20260921_ad_dev_0031,2.2018007042274594,4.514946663650543,flatness_unavailable,False,4184.482169538229,0.0006570070632017089,0.0006446252852614484,-0.0006570070632017089
dev:pool-v3-panel888-20260921_ad_dev_0032,2.486680153172432,2.7274321234063663,flatness_unavailable,False,3287.007383293146,0.007828240242036655,0.006366668991099195,0.007828240242036655
dev:pool-v3-panel888-20260921_ad_dev_0033,2.3830654552051667,2.4840416338667115,flatness_unavailable,False,2457.1161460841,0.00338020765349778,0.0034699308284670202,0.00338020765349778
dev:pool-v3-panel888-20260921_ad_dev_0034,2.1394964049738667,6.1536842845991915,flatness_unavailable,False,1773.2969619241426,0.0015104819751662335,0.002034632493956074,-0.0015104819751662335
dev:pool-v3-panel888-20260921_ad_dev_0035,2.3516092134260806,3.889174907156128,flatness_unavailable,False,10467.43296219351,0.0030434424732104226,0.002823625225520607,0.0030434424732104226
dev:pool-v3-panel888-20260921_ad_dev_0036,1.596651572296997,1.1418992697562795,flatness_unavailable,False,3400.3874463854463,0.006685860775039076,0.006296201792373654,0.006685860775039076
dev:pool-v3-panel888-20260921_ad_dev_0037,1.8667391347925706,1.771303155935538,flatness_unavailable,False,3514.9567537303355,0.0032566425682440947,0.005796434673644699,0.0032566425682440947
dev:pool-v3-panel888-20260921_ad_dev_0038,1.8215190324499135,1.957434173080887,flatness_unavailable,False,2516.0061401121666,0.0010228728569338097,0.001209511949567428,0.0010228728569338097
dev:pool-v3-panel888-20260921_ad_dev_0039,1.8844542429875917,1.8511452444971166,flatness_unavailable,False,3400.278516240488,0.00039777517782579874,0.0005543413247253992,0.00039777517782579874
dev:pool-v3-panel888-20260921_ad_dev_0040,1.9732638584527862,2.001399216451949,flatness_unavailable,False,27225.43341995257,0.003524005212426573,0.0031484945389384025,0.003524005212426573
dev:pool-v3-panel888-20260921_ad_dev_0041,1.4632216529848532,0.9012325324688994,flatness_unavailable,False,8404.78506266975,0.005441848676105643,0.0057876626258060865,0.005441848676105643
dev:pool-v3-panel888-20260921_ad_dev_0042,1.5424624061802001,1.293620154275061,flatness_unavailable,False,974.3790870103323,0.0038702983073466424,0.004092822751124006,0.0038702983073466424
dev:pool-v3-panel888-20260921_ad_dev_0043,2.6689153045877716,4.754302836568426,flatness_unavailable,False,6696.3823157641145,0.001989717916513034,0.0023442471304384836,-0.001989717916513034
dev:pool-v3-panel888-20260921_ad_dev_0044,1.201131755267631,0.7573133404397799,flatness_unavailable,False,3846.63802801494,0.004997083669546543,0.004821873175863606,0.004997083669546543
dev:pool-v3-panel888-20260921_ad_dev_0045,1.8473068716069783,1.819572964192374,flatness_unavailable,False,2506.9198301900046,0.001356652440273165,0.003941520313366427,-0.001356652440273165
dev:pool-v3-panel888-20260921_ad_dev_0046,2.2956055116832745,3.1006483516268992,flatness_unavailable,False,1965.0387945849643,0.010071320339197554,0.008652184811917988,0.010071320339197554
dev:pool-v3-panel888-20260921_ad_dev_0047,1.529722349909341,0.9975037828477774,flatness_unavailable,False,25374.223204407746,0.006895667063671285,0.007195204945128875,0.006895667063671285
dev:pool-v3-panel888-20260921_ad_dev_0048,1.3205153240470475,0.7749257588863286,flatness_unavailable,False,6548.455680143159,0.007163782238873373,0.007253471001533965,0.007163782238873373
dev:pool-v3-panel888-20260921_ad_dev_0049,1.7145694623147902,1.2063129487667659,flatness_unavailable,False,4913.084876831194,0.006137461377808906,0.0074811667045157695,0.006137461377808906
dev:pool-v3-panel888-20260921_ad_dev_0050,1.728344035766146,1.891376798561969,flatness_unavailable,False,18258.241162039838,0.003941926477042834,0.0030713890609546067,0.003941926477042834
