budget,graph_id,evidence_block,arm,T,active_dyad_windows,expected_cells,expected_coverage,matched,reasons,h_saturated,draws
0.1,snap_mathoverflow,real,S,20867.7,208677,20968.896484375,0.10048494316275872,True,,,3
0.1,snap_mathoverflow,real,H,20867.7,208677,20869.436204389913,0.1000083200563067,True,,False,3
0.1,snap_mathoverflow,real,B,20867.7,208677,20867.699999993736,0.09999999999996999,True,,,3
0.1,nr_digg_reply,real,R,8542.800000000001,85428,8542.769969952455,0.09999964847535299,True,,,3
0.1,nr_digg_reply,real,S,8542.800000000001,85428,8523.5341796875,0.09977447885573232,True,,,3
0.1,nr_digg_reply,real,H,8542.800000000001,85428,8543.442260058715,0.10000751814462137,True,,False,3
0.1,nr_digg_reply,real,B,8542.800000000001,85428,8542.800000001527,0.10000000000001788,True,,,3
0.1,sp_hospital__pwt,surrogate,R,398.40000000000003,3984,396.2464864864865,0.09945945945945947,True,,,3
0.1,sp_hospital__pwt,surrogate,S,398.40000000000003,3984,398.0634765625,0.09991553126568775,True,,,3
0.1,sp_hospital__pwt,surrogate,H,398.40000000000003,3984,393.4594594594595,0.09875990448279605,True,,False,3
0.1,sp_hospital__pwt,surrogate,B,398.40000000000003,3984,398.39999999926727,0.09999999999981608,True,,,3
0.1,sp_highschool2013__pwt,surrogate,R,1677.0,16770,1685.1488715033488,0.10048591958875068,True,,,3
0.1,sp_highschool2013__pwt,surrogate,S,1677.0,16770,1677.5556640625,0.10003313441040548,True,,,3
0.1,sp_highschool2013__pwt,surrogate,H,1677.0,16770,1677.6774356953904,0.100040395688455,True,,False,3
0.1,sp_highschool2013__pwt,surrogate,B,1677.0,16770,1677.0000000043738,0.10000000000026081,True,,,3
0.1,copenhagen_bluetooth__pwt,surrogate,R,24759.2,247592,24720.262298921727,0.0998427344135583,True,,,3
0.1,copenhagen_bluetooth__pwt,surrogate,S,24759.2,247592,24758.0341796875,0.09999529136517941,True,,,3
0.1,copenhagen_bluetooth__pwt,surrogate,H,24759.2,247592,24775.120500573015,0.10006430135292342,True,,False,3
0.1,copenhagen_bluetooth__pwt,surrogate,B,24759.2,247592,24759.200000023906,0.10000000000009655,True,,,3
0.1,sp_workplace__pwt,surrogate,R,1026.5,10265,1027.5512032770098,0.10010240655401946,True,,,3
0.1,sp_workplace__pwt,surrogate,S,1026.5,10265,1026.2587890625,0.09997650161349245,True,,,3
0.1,sp_workplace__pwt,surrogate,H,1026.5,10265,1030.299539170507,0.10037014507262611,True,,False,3
0.1,sp_workplace__pwt,surrogate,B,1026.5,10265,1026.500000002374,0.10000000000023128,True,,,3
0.1,snap_email_eu__pwt,surrogate,R,4138.3,41383,4134.507733651836,0.09990836173433139,True,,,3
0.1,snap_email_eu__pwt,surrogate,S,4138.3,41383,4128.5810546875,0.0997651464293913,True,,,3
0.1,snap_email_eu__pwt,surrogate,H,4138.3,41383,4137.248010214063,0.09997457918019628,True,,False,3
0.1,snap_email_eu__pwt,surrogate,B,4138.3,41383,4138.299999997549,0.09999999999994078,True,,,3
0.1,snap_collegemsg__pwt,surrogate,R,2526.6000000000004,25266,2527.79029060273,0.10004711036977479,True,,,3
0.1,snap_collegemsg__pwt,surrogate,S,2526.6000000000004,25266,2539.71875,0.10051922544130452,True,,,3
0.1,snap_collegemsg__pwt,surrogate,H,2526.6000000000004,25266,2525.897552424852,0.09997219791121872,True,,False,3
0.1,snap_collegemsg__pwt,surrogate,B,2526.6000000000004,25266,2526.5999999986634,0.0999999999999471,True,,,3
0.1,snap_mathoverflow__pwt,surrogate,R,29482.0,294820,29483.31677023996,0.1000044663531645,True,,,3
0.1,snap_mathoverflow__pwt,surrogate,S,29482.0,294820,29566.3076171875,0.10028596301874873,True,,,3
0.1,snap_mathoverflow__pwt,surrogate,H,29482.0,294820,29481.790707030035,0.09999929009914536,True,,False,3
0.1,snap_mathoverflow__pwt,surrogate,B,29482.0,294820,29481.999999991876,0.09999999999997244,True,,,3
0.1,nr_digg_reply__pwt,surrogate,R,8592.300000000001,85923,8592.269795947754,0.09999964847535298,True,,,3
0.1,nr_digg_reply__pwt,surrogate,S,8592.300000000001,85923,8576.1064453125,0.09981153410975524,True,,,3
0.1,nr_digg_reply__pwt,surrogate,H,8592.300000000001,85923,8592.588630364933,0.10000335917466724,True,,False,3
0.1,nr_digg_reply__pwt,surrogate,B,8592.300000000001,85923,8592.299999995725,0.09999999999995024,True,,,3
0.1,dar_a0_r1,dar_a0,R,496.3,4963,493.43558316633266,0.09942284569138277,True,,,3
0.1,dar_a0_r1,dar_a0,S,496.3,4963,495.0634765625,0.09975085161444691,True,,,3
0.1,dar_a0_r1,dar_a0,H,496.3,4963,497.93987975951904,0.10033042106780557,True,,False,3
0.1,dar_a0_r1,dar_a0,B,496.3,4963,496.30000000036523,0.10000000000007359,True,,,3
0.1,dar_a08_r1,dar_a08,R,498.3,4983,495.4240400801603,0.09942284569138277,True,,,3
0.1,dar_a08_r1,dar_a08,S,498.3,4983,498.7802734375,0.10009638238761791,True,,,3
0.1,dar_a08_r1,dar_a08,H,498.3,4983,497.93987975951904,0.09992773023470179,True,,False,3
