stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,qwen_thinking,False,sp_hospital,plugin_AE2_all,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_AE2_matched,0.005840930126802024,0.001539859254209723,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_AE2_matched,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_AE2_matched,0.022097390603300692,0.005854459597495738,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_AE2_matched,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_AE2_matched,0.02486704458136163,0.008164288779919903,5,15,15
real,R,qwen_thinking,False,sp_hospital,plugin_AE2_matched,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2_vs_plugin,7.502775465092111e-07,6.750285048291811e-07,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2_vs_plugin,-7.027279166719562e-08,7.16633292990123e-08,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_AE2_vs_plugin,0.003230595710112353,0.003220998207236017,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2_vs_plugin,0.0006257953840120854,0.0006263164196861482,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_plugin,-3.7876775000518967e-06,3.894330375693705e-06,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_plugin,-0.00142508142688218,0.0014246839732225854,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_ProfileAE_all,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_ProfileAE_all,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_ProfileAE_all,0.017329713866097697,0.002635530687539133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_ProfileAE_all,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_ProfileAE_all,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,qwen_thinking,False,sp_hospital,plugin_ProfileAE_all,0.02892326624459917,0.003210760108664369,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_ProfileAE_matched,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_ProfileAE_matched,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_ProfileAE_matched,0.017329713866097697,0.002635530687539133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_ProfileAE_matched,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_ProfileAE_matched,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,qwen_thinking,False,sp_hospital,plugin_ProfileAE_matched,0.02892326624459917,0.003210760108664369,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE_vs_plugin,-2.175904705602194e-07,7.495048312910724e-07,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE_vs_plugin,-1.9584873249140432e-05,3.8112053461539405e-05,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE_vs_plugin,0.0018375774851639352,0.001835880170992181,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE_vs_plugin,0.0001564556798906218,0.0001565659398634103,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE_vs_plugin,0.0003700295757465313,0.0003095389571646523,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE_vs_plugin,-0.0007576581604071227,0.0011514718955493465,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_AE2_all,0.015517022257930158,0.0017088058727580608,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_AE2_all,0.09250265498602801,0.009206637129032533,5,15,15
