stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
surrogate,0.025,0.6,mechanism_aware_reference,8,24,0.12638601775393926,0.036095500309645166,0.10484855554063785,0.12333317799047464,,,,,
surrogate,0.05,0.4,plugin,8,24,0.19678015032993104,0.057926957071939005,0.2514863892086182,-0.19678015032993104,,,,,
surrogate,0.05,0.4,shared_mle,8,24,0.14029556279480088,0.03379223282561092,0.11398737337146513,0.08015094043456233,0,0.0,,,
surrogate,0.05,0.4,extratrees,8,24,0.09858828160106177,0.044889699465416134,0.0909037225268999,-0.08261074257959501,,,1.0,,
surrogate,0.05,0.4,mechanism_aware_reference,8,24,0.16983038039357654,0.04423054801536969,0.14547399339118788,0.13316890837250098,,,,,
surrogate,0.05,0.6,plugin,8,24,0.10940672512360074,0.029955642909104678,0.17686764821872808,-0.10691323075126527,,,,,
surrogate,0.05,0.6,shared_mle,8,24,0.0737280440886495,0.022346620425478466,0.06863972350952945,0.03055971564180083,2,0.08333333333333333,,,
surrogate,0.05,0.6,extratrees,8,24,0.07261605618637104,0.018058097619000298,0.08283608765579686,-0.06892587070450189,,,1.0,,
surrogate,0.05,0.6,qwen_thinking,8,72,0.1438527591113755,0.023090417436603436,0.16349584404752582,0.0007178809099977436,,,,72,1.0
surrogate,0.05,0.6,qwen_nonthinking,8,72,0.34587369034192794,0.08531452205101388,0.2600101943145571,-0.26443682389630463,,,,72,1.0
surrogate,0.05,0.6,mechanism_aware_reference,8,24,0.12376044423291335,0.03522283768997474,0.10557086217647438,0.11571482160530487,,,,,
surrogate,0.1,0.4,plugin,8,24,0.19548942994007584,0.05793635576526912,0.25116370911115443,-0.19548942994007584,,,,,
surrogate,0.1,0.4,shared_mle,8,24,0.13813456783636577,0.03467162477561281,0.11466463505841186,0.09451520517684166,0,0.0,,,
surrogate,0.1,0.4,extratrees,8,24,0.09679844086618342,0.04558294479359786,0.08964247154529148,-0.0799782376726464,,,1.0,,
surrogate,0.1,0.4,mechanism_aware_reference,8,24,0.17007090316818155,0.04486816770289066,0.1445523130514063,0.13570793149598046,,,,,
surrogate,0.1,0.6,plugin,8,24,0.10117006756013969,0.03180970274495716,0.17362677808289068,-0.09959854779398937,,,,,
