source_family,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
snap_mathoverflow,H,plugin,1,3,0.01984561454077507,nan,0.00869728476599105,-0.01984561454077507,,,,,
snap_mathoverflow,H,shared_mle,1,3,0.04485067367943415,nan,0.012882972412667398,0.04485067367943415,0,0.0,,,
snap_mathoverflow,H,extratrees,1,3,0.03432237837366849,nan,0.00996694481096595,0.03432237837366849,,,1.0,,
snap_mathoverflow,H,qwen_thinking,1,9,0.16298993794730735,nan,0.05980611523544573,0.13063942050373575,,,,0,
snap_mathoverflow,H,qwen_nonthinking,1,9,0.2706240062794274,nan,0.12033975934378091,0.19561605651484684,,,,0,
snap_mathoverflow,B,plugin,1,3,0.05375440006856937,nan,0.018751221797042823,-0.05375440006856937,,,,,
snap_mathoverflow,B,shared_mle,1,3,0.12024805932120942,nan,0.03323675701690779,0.12024805932120942,2,0.6666666666666666,,,
snap_mathoverflow,B,extratrees,1,3,0.09033565030532238,nan,0.028472708766300148,0.09033565030532238,,,1.0,,
snap_mathoverflow,B,qwen_thinking,1,9,0.25083077149835037,nan,0.08904730222138292,0.2016946120704024,,,,0,
snap_mathoverflow,B,qwen_nonthinking,1,9,0.7724382787370692,nan,0.66895554544842,0.7724382787370692,,,,0,
sp_highschool2013,R,plugin,1,3,0.013670234454683369,nan,0.010144413949499852,-0.013670234454683369,,,,,
sp_highschool2013,R,shared_mle,1,3,0.003062697640790183,nan,0.0066589859038730355,0.00035838823691044147,0,0.0,,,
sp_highschool2013,R,extratrees,1,3,0.02809601548758543,nan,0.023034690526206006,-0.02809601548758543,,,1.0,,
sp_highschool2013,R,qwen_thinking,1,9,0.018601522444181316,nan,0.017496376679016587,-0.01577799943130937,,,,0,
sp_highschool2013,R,qwen_nonthinking,1,9,0.3749935067415301,nan,0.3075387208280814,0.3749935067415301,,,,0,
sp_highschool2013,S1,plugin,1,3,0.03498408739847766,nan,0.021442239984201236,0.03498408739847766,,,,,
sp_highschool2013,S1,shared_mle,1,3,0.03877540446061952,nan,0.021367802896849336,0.03877540446061952,0,0.0,,,
sp_highschool2013,S1,extratrees,1,3,0.024221600470085036,nan,0.015054293329591406,-0.024221600470085036,,,1.0,,
