stratum,budget,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.5,H,shared_mle,8,18,0.07078645930487756,0.023871709854228214,0.03529997035541601,0.07078645930487756,4,0.2222222222222222,,,
real,0.5,H,extratrees,8,18,0.03659813091494412,0.008347805475805136,0.02675774664974858,0.012776186656974494,,,1.0,,
real,0.5,H,qwen_thinking,8,54,0.16072640602370367,0.03227262897150639,0.08221228744760556,0.0771598046394883,,,,54,1.0
real,0.5,H,qwen_nonthinking,8,54,0.30633518658279385,0.03751946963820471,0.1502917331805964,-0.03064170772162282,,,,54,1.0
real,0.5,B,plugin,8,24,0.04816735236191279,0.012485186674607584,0.025089625503766172,-0.04816735236191279,,,,,
real,0.5,B,shared_mle,8,24,0.03212377613612588,0.012881218581195408,0.024253886946101748,-0.01232660141992203,3,0.125,,,
real,0.5,B,extratrees,8,24,0.03736469498928617,0.004797866202900212,0.024383787683889546,0.003417402645877865,,,1.0,,
real,0.5,B,qwen_thinking,8,72,0.1223271863809147,0.031793081913762324,0.07996755107694353,0.049185794824592045,,,,72,1.0
real,0.5,B,qwen_nonthinking,8,72,0.5422013478339327,0.055048624230620465,0.431662805697972,0.5422013478339327,,,,72,1.0
surrogate,0.025,R,plugin,8,24,0.01937909733653246,0.005166099657852453,0.017736534205717754,0.004295570173571631,,,,,
surrogate,0.025,R,shared_mle,8,24,0.030690184600070447,0.008586824657568078,0.02974113986693178,0.02546013736296906,1,0.041666666666666664,,,
surrogate,0.025,R,extratrees,8,24,0.025479012761603054,0.004263105027785413,0.03185841294353782,-0.016731123979666168,,,0.75,,
surrogate,0.025,R,qwen_thinking,8,72,0.027393367875320197,0.006802938258930149,0.03143416619660431,0.007288230491690856,,,,72,1.0
surrogate,0.025,R,qwen_nonthinking,8,72,0.26946413333602937,0.022890959658072158,0.2548996609101587,0.19763539832591764,,,,72,1.0
surrogate,0.025,S1,plugin,8,24,0.05926456811602405,0.02681411706323708,0.05605050497260742,0.05069948104991913,,,,,
surrogate,0.025,S1,shared_mle,8,24,0.10418112216896494,0.04506110149846078,0.07068958990954519,0.10315541198770889,4,0.16666666666666666,,,
surrogate,0.025,S1,extratrees,8,24,0.05229811189870018,0.02447927754241177,0.04893847882861734,0.027780704857910312,,,1.0,,
surrogate,0.025,S1,qwen_thinking,8,72,0.06603902075273416,0.026921888987682205,0.05804077473872703,0.06350170710925096,,,,72,1.0
