observation,graph_id,status,status_widened,nll,nll_widened,nll_improvement,max_profile_shift,kappa,kappa_widened
sp_highschool2013__pwt__B-p888-20260921__s1,sp_highschool2013__pwt,boundary_other,boundary_other,2113.6872749175272,2113.686970322905,0.0003045946223210194,1.026472037812809e-06,0.9088033855301406,0.9087951369757858
sp_highschool2013__pwt__B-p888-20260921__s2,sp_highschool2013__pwt,boundary_other,boundary_other,2076.7778184994095,2076.7775764822754,0.00024201713404181646,7.889778634861955e-07,0.8864122704691705,0.8864033019212835
sp_highschool2013__pwt__B-p888-20260921__s3,sp_highschool2013__pwt,boundary_other,boundary_other,2072.8140586312347,2072.8137600984855,0.00029853274918423267,9.922035941745122e-07,0.928428203022205,0.9284194444989329
sp_hospital__B-p888-20260921__s1,sp_hospital,weakly_identified,weakly_identified,181.73825472340835,181.73825472339973,8.611777957412414e-12,1.1975557262511316e-07,36.37584616250022,36.37575652820299
sp_hospital__B-p888-20260921__s2,sp_hospital,boundary_other,converged,172.83350776156237,172.83349461385012,1.3147712252248311e-05,6.042444948700654e-07,6.106136894545743,6.105869789269498
sp_hospital__B-p888-20260921__s3,sp_hospital,boundary_other,converged,158.4391085337236,158.43909018613437,1.8347589247014184e-05,5.492963666142714e-07,4.3800820766749995,4.379952010035228
sp_hospital__pwt__B-p888-20260921__s1,sp_hospital__pwt,boundary_other,converged,448.4132933435216,448.41328300089225,1.0342629366277833e-05,6.885194722139332e-07,0.8016941231982727,0.8016901411949656
sp_hospital__pwt__B-p888-20260921__s2,sp_hospital__pwt,boundary_other,converged,464.2989120357714,464.2988854178669,2.66179044956516e-05,9.400005104298614e-07,0.8082746966361651,0.8082677541014278
sp_hospital__pwt__B-p888-20260921__s3,sp_hospital__pwt,boundary_other,boundary_other,438.03988277155077,438.03985030576257,3.246578819471324e-05,1.1596923643608648e-06,0.971856929747766,0.9718482304166104
sp_workplace__B-p888-20260921__s1,sp_workplace,boundary_other,boundary_other,546.6238215728554,546.6237762369344,4.533592095867789e-05,7.132257279884868e-06,4.944305902362913,4.944318863053763
sp_workplace__B-p888-20260921__s2,sp_workplace,boundary_other,converged,586.6595362766232,586.6594507247205,8.555190265724377e-05,5.8236296880676e-07,5.511051262938536,5.510866090342749
sp_workplace__B-p888-20260921__s3,sp_workplace,boundary_other,converged,567.6529974736139,567.6529906231403,6.850473596387019e-06,4.851925506144106e-06,5.06345609019172,5.063519060944187
sp_workplace__pwt__B-p888-20260921__s1,sp_workplace__pwt,boundary_other,converged,1080.573475007911,1080.5734201023324,5.4905578508623876e-05,5.175602910023613e-06,1.0058208851827055,1.0057863282409985
sp_workplace__pwt__B-p888-20260921__s2,sp_workplace__pwt,boundary_other,converged,1133.8218996317112,1133.8218405635216,5.906818955736526e-05,4.21009253853688e-06,1.2171226120089238,1.2170833582680922
sp_workplace__pwt__B-p888-20260921__s3,sp_workplace__pwt,boundary_other,boundary_other,1117.9836885226732,1117.9836202951624,6.82275108374597e-05,7.438389640901377e-07,1.105298618491059,1.1052850942226693
