case_id,instance_id,group_id,coverage,p_arm_b,actual_arm,stated_arm,p_stated,mismatch_detectability
dar__dcsbm__n500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,dar__dcsbm__n500__f0__a0.1__c0.15,dar::dcsbm::n500::f0,1.0,0.679428814704229,event_sample_then_full_history,time_agnostic_t,0.320571185295771,0.679428814704229
dar__dcsbm__n500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n500__f0__a0.1__c0.15,dar::dcsbm::n500::f0,0.2369597615499254,0.08802986828708613,time_agnostic_t,event_sample_then_full_history,0.08802986828708613,0.9119701317129139
dar__dcsbm__n500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600,dar__dcsbm__n500__f0__a0.9__c0.15,dar::dcsbm::n500::f0,1.0,0.9905940942228643,event_sample_then_full_history,time_agnostic_t,0.009405905777135737,0.9905940942228643
dar__dcsbm__n500__f0__a0.9__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n500__f0__a0.9__c0.15,dar::dcsbm::n500::f0,0.0020597322348094,0.9500834861592852,time_agnostic_t,event_sample_then_full_history,0.9500834861592852,0.04991651384071483
real__snap_bitcoin_otc|event_sample_then_full_history|ss0|b9600,real__snap_bitcoin_otc,real::snap_bitcoin_otc,0.2523729759910664,4.1273785866080675e-05,event_sample_then_full_history,time_agnostic_t,0.999958726214134,4.127378586604724e-05
real__snap_bitcoin_otc|time_agnostic_t|ws0|b800,real__snap_bitcoin_otc,real::snap_bitcoin_otc,0.0318723245858924,0.04134582764370337,time_agnostic_t,event_sample_then_full_history,0.04134582764370337,0.9586541723562967
real__snap_collegemsg|event_sample_then_full_history|ss0|b9600,real__snap_collegemsg,real::snap_collegemsg,0.0445151033386327,0.9995468384405822,event_sample_then_full_history,time_agnostic_t,0.0004531615594177696,0.9995468384405822
real__snap_collegemsg|time_agnostic_t|ws0|b800,real__snap_collegemsg,real::snap_collegemsg,0.0518861107096401,0.08605894641848064,time_agnostic_t,event_sample_then_full_history,0.08605894641848064,0.9139410535815193
real__snap_email_eu|event_sample_then_full_history|ss0|b9600,real__snap_email_eu,real::snap_email_eu,0.0026767928286852,0.9738716926996722,event_sample_then_full_history,time_agnostic_t,0.02612830730032778,0.9738716926996722
real__snap_email_eu|time_agnostic_t|ws0|b800,real__snap_email_eu,real::snap_email_eu,0.0470617529880478,0.0945245744281929,time_agnostic_t,event_sample_then_full_history,0.0945245744281929,0.9054754255718072
real__snap_mathoverflow|event_sample_then_full_history|ss0|b9600,real__snap_mathoverflow,real::snap_mathoverflow,0.0083197684933984,0.9460800825441524,event_sample_then_full_history,time_agnostic_t,0.053919917455847566,0.9460800825441524
real__snap_mathoverflow|time_agnostic_t|ws0|b800,real__snap_mathoverflow,real::snap_mathoverflow,0.003968380624089,0.1000846760616868,time_agnostic_t,event_sample_then_full_history,0.1000846760616868,0.8999153239383132
real__sp_highschool2013|event_sample_then_full_history|ss0|b9600,real__sp_highschool2013,real::sp_highschool2013,0.0036094877964936,0.9999999933700574,event_sample_then_full_history,time_agnostic_t,6.629942594926774e-09,0.9999999933700574
real__sp_highschool2013|time_agnostic_t|ws0|b800,real__sp_highschool2013,real::sp_highschool2013,0.1240976280508766,0.11204207293074532,time_agnostic_t,event_sample_then_full_history,0.11204207293074532,0.8879579270692547
real__sp_hospital|event_sample_then_full_history|ss0|b9600,real__sp_hospital,real::sp_hospital,0.0553116769095698,0.9997977362261935,event_sample_then_full_history,time_agnostic_t,0.00020226377380649918,0.9997977362261935
real__sp_hospital|time_agnostic_t|ws0|b800,real__sp_hospital,real::sp_hospital,0.5083406496927129,0.21178723338535313,time_agnostic_t,event_sample_then_full_history,0.21178723338535313,0.7882127666146469
real__sp_hypertext2009|event_sample_then_full_history|ss0|b9600,real__sp_hypertext2009,real::sp_hypertext2009,0.0842440801457194,0.9999726861257672,event_sample_then_full_history,time_agnostic_t,2.7313874232826052e-05,0.9999726861257672
real__sp_hypertext2009|time_agnostic_t|ws0|b800,real__sp_hypertext2009,real::sp_hypertext2009,0.3010018214936247,0.09769969322251658,time_agnostic_t,event_sample_then_full_history,0.09769969322251658,0.9023003067774834
real__sp_primaryschool|event_sample_then_full_history|ss0|b9600,real__sp_primaryschool,real::sp_primaryschool,0.0122640375135265,0.999957654790208,event_sample_then_full_history,time_agnostic_t,4.234520979196077e-05,0.999957654790208
real__sp_primaryschool|time_agnostic_t|ws0|b800,real__sp_primaryschool,real::sp_primaryschool,0.0889743898040158,0.12246292036917673,time_agnostic_t,event_sample_then_full_history,0.12246292036917673,0.8775370796308233
