budget,evidence_block,arm,method,sources,planned,valid,missing,empty_observations,expected_coverage,all_arm_budgets_matched,MAE2,MAE2_MCSE,ProfileMAE,ProfileMAE_MCSE,valid_fraction,valid_fraction_MCSE
0.1,dar_a0,R,primary_corrector,2,6,6,0,0,0.09942284569138277,True,0.026854567357085902,0.008311438062358548,0.010423523666357702,0.002001337432102111,1.0,0.0
0.1,dar_a0,R,median,2,6,6,0,0,0.09942284569138277,True,0.03677670046381365,0.0,0.03508417697610491,0.0,1.0,0.0
0.1,dar_a0,R,extratrees_pooled,2,6,6,0,0,0.09942284569138277,True,0.02955889455628684,0.008819296188016659,0.014574512042244081,0.0008543937423161213,1.0,0.0
0.1,dar_a0,R,extratrees_real_only,2,6,6,0,0,0.09942284569138277,True,0.010676969150135282,0.003093422823433367,0.03553682832628821,0.001979071893905812,1.0,0.0
0.1,dar_a0,R,qwen_thinking,2,18,18,0,0,0.09942284569138277,True,0.026854826062351147,0.008311446057756638,0.010423622360740193,0.002001328280824655,1.0,0.0
0.1,dar_a0,R,qwen_nonthinking,2,18,18,0,0,0.09942284569138277,True,0.4531822879524021,0.02463298501232207,0.38709620514295384,0.04029144643549295,1.0,0.0
0.1,dar_a0,S,plugin,2,6,6,0,0,0.10000365794594865,True,0.020121017610473847,0.003784672027814944,0.007935372598502098,0.0010839275978841618,1.0,0.0
0.1,dar_a0,S,primary_corrector,2,6,6,0,0,0.10000365794594865,True,0.024399642819161883,0.005173339645170652,0.009171230028595687,0.0014649403255488649,1.0,0.0
0.1,dar_a0,S,median,2,6,6,0,0,0.10000365794594865,True,0.03677670046381365,0.0,0.03508417697610491,0.0,1.0,0.0
0.1,dar_a0,S,extratrees_pooled,2,6,6,0,0,0.10000365794594865,True,0.021361275717595263,0.006300067642743646,0.013134891434389312,0.0004487473748106371,1.0,0.0
0.1,dar_a0,S,extratrees_real_only,2,6,6,0,0,0.10000365794594865,True,0.009503657552204059,0.002645892248640854,0.03545402310564565,0.0009697461518334356,1.0,0.0
0.1,dar_a0,S,qwen_thinking,2,18,18,0,0,0.10000365794594865,True,0.021764172575831485,0.004700804197160878,0.008434633208872134,0.001364416251838471,1.0,0.0
0.1,dar_a0,S,qwen_nonthinking,2,18,18,0,0,0.10000365794594865,True,0.33243228795240215,0.024183726417919767,0.2027709837896911,0.030313738400205452,1.0,0.0
0.1,dar_a0,H,plugin,2,6,6,0,0,0.10026868948371344,True,0.16930231448324645,0.0052130366994553486,0.06214182376276731,0.0014847254176651138,1.0,0.0
0.1,dar_a0,H,primary_corrector,2,6,6,0,0,0.10026868948371344,True,0.01744243917007718,0.006383787952458875,0.007065141008937841,0.002522830762009277,1.0,0.0
0.1,dar_a0,H,median,2,6,6,0,0,0.10026868948371344,True,0.03677670046381365,0.0,0.03508417697610491,0.0,1.0,0.0
0.1,dar_a0,H,extratrees_pooled,2,6,6,0,0,0.10026868948371344,True,0.03936110756443203,0.017300555919538555,0.01594648550540735,0.002665927476613705,1.0,0.0
0.1,dar_a0,H,extratrees_real_only,2,6,6,0,0,0.10026868948371344,True,0.0882097829961922,0.005485715262197387,0.035146154905238286,0.00022709593109577074,1.0,0.0
0.1,dar_a0,H,qwen_thinking,2,18,18,0,0,0.10026868948371342,True,0.27958133271168917,0.008992503039156953,0.13608507726851335,0.005699805843977986,1.0,0.0
0.1,dar_a0,H,qwen_nonthinking,2,18,18,0,0,0.10026868948371342,True,0.21897887996238263,0.04181245271656147,0.20773451058082998,0.051418278264021865,1.0,0.0
0.1,dar_a0,B,plugin,2,6,6,0,0,0.10000000000000002,True,0.34791856831573814,0.0030558849688571647,0.11061888664680664,0.0009502392697394331,1.0,0.0
