group,arm,method,sources,sources_with_valid,planned_answers,completed_answers,valid_answers,validity_of_completed,MAE_2,ProfileMAE,signed_rho_2,draw_clustered_MCSE_2,skill_vs_plugin
surrogate,S,qwen_thinking,8,8,72,72,71,0.9861111111111112,0.1543826260856076,0.17338717374461776,0.13346497263275045,0.00913909061893423,0.37323776479270676
surrogate,S,qwen_nonthinking,8,8,72,72,72,1.0,0.4109630153726944,0.4330803781671442,0.2698859213023065,0.03277359323090781,-0.6684267176520833
surrogate,S,deepseek_flash,8,8,24,24,24,1.0,0.06905855489562879,0.04881645025635784,0.021250129298139856,0.011818881953623739,0.7196362354753014
surrogate,S,gpt_6_sol,8,8,72,72,72,1.0,0.0485124913677247,0.03417931880708595,0.00860109277036207,0.005047310799375133,0.8030490975827218
surrogate,S,gpt_6_sol_tools,8,8,72,72,72,1.0,0.04639941047870953,0.03197848537722947,0.004608092770362081,0.00509986409841108,0.8116277785829955
surrogate,H,plugin,8,8,24,24,24,1.0,0.10117006756013969,0.17362677808289068,-0.09959854779398937,0.0014641970914974845,0.0
surrogate,H,median,8,8,24,24,24,1.0,0.31534505550048775,0.2477381004240897,-0.1956569234236315,5.485677294651096e-18,-2.1169797856765644
surrogate,H,mle,8,8,24,24,24,1.0,0.05725315096015554,0.054072476485868895,0.02217059599838639,0.0030908148332312773,0.4340900194998695
surrogate,H,et,8,8,24,24,24,1.0,0.049148118898482876,0.06034887327085047,-0.042406267230509664,0.001909171150248241,0.5142029645352644
surrogate,H,qwen_thinking,8,8,72,72,72,1.0,0.14871234284361956,0.16809525001984232,-0.023287579757787454,0.011109079480776001,-0.4699243207999122
surrogate,H,qwen_nonthinking,8,8,72,72,72,1.0,0.28079723702256976,0.23939189939091118,-0.17195349056297124,0.022896805435077102,-1.7754971781120163
surrogate,H,deepseek_flash,8,8,24,24,24,1.0,0.12198721820907492,0.09121629432542186,0.019658842735639847,0.02321750491487108,-0.20576392949980638
surrogate,H,gpt_6_sol,8,8,72,72,72,1.0,0.06699137166202959,0.045785080945896076,-0.016762518340749037,0.006634445783430185,0.33783407209640204
surrogate,H,gpt_6_sol_tools,8,8,72,72,72,1.0,0.059306722684687695,0.048014991254656164,-0.014079879451860147,0.004439479908955476,0.4137918050767998
surrogate,B,plugin,8,8,24,24,24,1.0,0.30584365983024664,0.2404339996467894,-0.30584365983024664,0.0022308282991370535,0.0
surrogate,B,median,8,8,24,24,24,1.0,0.3153450555004878,0.24773810042408972,-0.1956569234236315,5.485677294651096e-18,-0.031066184845926603
surrogate,B,mle,8,8,24,24,24,1.0,0.1265157064789927,0.13625263440456137,-0.08781231870318429,0.0024279103265659697,0.5863386327863944
surrogate,B,et,8,8,24,24,24,1.0,0.11846162958784753,0.11893130780540358,-0.05511593421802611,0.002506626122466992,0.6126725999368512
surrogate,B,qwen_thinking,8,8,72,72,72,1.0,0.32069785389637195,0.2706038375822023,-0.13428830448133738,0.02194796875161731,-0.04856793197665077
surrogate,B,qwen_nonthinking,8,8,72,72,72,1.0,0.30817186631990506,0.30917598729037277,0.27589234277036206,0.013966568193138974,-0.007612407237575836
surrogate,B,deepseek_flash,8,8,24,24,24,1.0,0.24087085316429946,0.19383720797865744,-0.06516735861852682,0.031381438155699215,0.21243797141980725
surrogate,B,gpt_6_sol,8,8,72,72,72,1.0,0.13254909395339748,0.1093874276654154,-0.021760435007415695,0.009615582725584096,0.5666116014078348
surrogate,B,gpt_6_sol_tools,8,8,72,72,72,1.0,0.13363860311948939,0.10312452964406242,0.00769484277036208,0.014455168703241003,0.5630492938985125
synthetic,R,plugin,8,8,24,24,24,1.0,0.023485619512021903,0.016790690974994436,-0.0032126630883822084,0.002643200243238539,0.0
synthetic,R,median,8,8,24,24,24,1.0,0.29873223477483635,0.21192999081079672,-0.1506171921058752,6.938893903907228e-18,-11.71979368574545
synthetic,R,mle,8,8,24,24,24,1.0,0.021926090629127502,0.015194080362953553,-0.007670859943493399,0.003120883467102221,0.06640356589682905
synthetic,R,et,8,8,24,24,24,1.0,0.022606738860664166,0.016717373671433777,-0.0033845824915283602,0.00254203814238336,0.03742207655658614
synthetic,R,qwen_thinking,8,8,72,72,72,1.0,0.02347762434472183,0.017345093808630106,-0.00330430335178429,0.002708693596416432,0.0003404282052674734
synthetic,R,qwen_nonthinking,8,8,72,72,72,1.0,0.21936482124024875,0.1734179391724536,0.18265151853256278,0.022261629462504554,-8.340388961336936
synthetic,R,deepseek_flash,8,8,24,24,24,1.0,0.02348567194330988,0.01679071317685396,-0.0032127155254455387,0.0026432026341316564,-2.2324847743782072e-06
synthetic,R,gpt_6_sol,8,8,72,72,72,1.0,0.023484907258766737,0.016789545025976134,-0.003212850911881635,0.002642497104101211,3.032720745566042e-05
synthetic,R,gpt_6_sol_tools,8,8,72,72,72,1.0,0.023487514254600075,0.01679078705271225,-0.0032117912410483075,0.0026428268274801374,-8.067671270928223e-05
synthetic,S,plugin,8,8,24,24,24,1.0,0.12709606217280484,0.10829960612555295,0.12709606217280484,0.003983412238144417,0.0
synthetic,S,median,8,8,24,24,24,1.0,0.29873223477483635,0.21192999081079672,-0.1506171921058752,6.938893903907228e-18,-1.3504444564825948
synthetic,S,design,8,8,24,24,24,1.0,0.028373860860955558,0.020691261344427135,0.007557787050424437,0.004457391661712915,0.7767526359520303
synthetic,S,mle,8,8,24,24,24,1.0,0.0250044367543604,0.02007594717098379,0.008520933939639735,0.004423800290563965,0.8032634817563161
synthetic,S,et,8,8,24,24,24,1.0,0.018445007297479887,0.01686894434836487,0.0034705307418008324,0.003522583182947499,0.8548734950387264
synthetic,S,qwen_thinking,8,8,72,72,72,1.0,0.0786440573156772,0.0627250101899279,0.06140536698610512,0.008421531907555619,0.3812234937007756
synthetic,S,qwen_nonthinking,8,8,72,72,72,1.0,0.28065350832003244,0.25444417394670277,0.27504318519922943,0.02220633584023403,-1.2081998727737515
synthetic,S,deepseek_flash,8,8,24,24,24,1.0,0.027763441195388774,0.01956985824764202,0.0009642788700628038,0.005019451576058074,0.7815554571813523
synthetic,S,gpt_6_sol,8,8,72,72,72,1.0,0.029467733533002593,0.02099971404585136,0.008135962977007244,0.004847897493456856,0.768145975341572
synthetic,S,gpt_6_sol_tools,8,8,72,72,72,1.0,0.02710135648345606,0.019949910565275324,0.008269296310340579,0.004659423890627284,0.7867647823218317
synthetic,H,plugin,8,8,24,24,24,1.0,0.09476001628557325,0.12143025378551378,-0.09018390838576593,0.005104996047515969,0.0
synthetic,H,median,8,8,24,24,24,1.0,0.29873223477483635,0.21192999081079672,-0.1506171921058752,6.938893903907228e-18,-2.152513544051774
synthetic,H,mle,8,8,24,24,24,1.0,0.037488315038612705,0.044175865843575926,0.021725851507338828,0.006141222097835992,0.6043867813864008
synthetic,H,et,8,8,24,24,24,1.0,0.029274926738680797,0.0190666388031277,-0.013419780128557865,0.004148635858548217,0.6910624555988203
synthetic,H,qwen_thinking,8,8,72,72,72,1.0,0.16305284128218406,0.1348149344821762,0.042624795926742697,0.006465451131409581,-0.7206924151511365
synthetic,H,qwen_nonthinking,8,8,72,72,72,1.0,0.2435246493034728,0.1821875859097162,-0.08264431480077053,0.022306952099657076,-1.569909323037424
