group,arm,comparison,sources_with_pairs,mean_difference,first_better_sources,exact_signflip_p
all24,H,deepseek_flash vs gpt_6_sol,24,0.044944753516769916,7,0.0006949901580810547
all24,H,gpt_6_sol_tools vs gpt_6_sol,24,0.0035359399768366494,11,0.4236530065536499
all24,B,deepseek_flash vs plugin,24,-0.07701147408758495,19,0.01245105266571045
all24,B,deepseek_flash vs mle,24,0.13193355658946,5,1.2636184692382812e-05
all24,B,deepseek_flash vs et,24,0.14764296595052737,3,1.6808509826660156e-05
all24,B,deepseek_flash vs qwen_thinking,24,-0.06812655497349313,18,0.003023386001586914
all24,B,gpt_6_sol vs plugin,24,-0.17705931126944263,23,3.5762786865234375e-07
all24,B,gpt_6_sol vs mle,24,0.03188571940760231,8,0.016855716705322266
all24,B,gpt_6_sol vs et,24,0.047595128768669705,8,0.01006615161895752
all24,B,gpt_6_sol vs qwen_thinking,24,-0.16817439215535082,24,1.1920928955078125e-07
all24,B,gpt_6_sol_tools vs plugin,24,-0.17602267508191302,23,5.960464477539062e-07
all24,B,gpt_6_sol_tools vs mle,24,0.03292235559513192,7,0.0445709228515625
all24,B,gpt_6_sol_tools vs et,24,0.048631764956199315,6,0.015157341957092285
all24,B,gpt_6_sol_tools vs qwen_thinking,24,-0.16713775596782118,23,3.5762786865234375e-07
all24,B,deepseek_flash vs gpt_6_sol,24,0.10004783718185768,2,7.152557373046875e-07
all24,B,gpt_6_sol_tools vs gpt_6_sol,24,0.001036636187529618,12,0.8962596654891968
