source,stratum,arm,method,answers,valid,MAE_2,ProfileMAE,signed_rho_2
dar_a0_r2,synthetic,S,gpt_6_sol_tools,9,9,0.018666381336018795,0.010450783820073853,0.018666381336018795
nr_digg_reply,real,B,deepseek_flash,3,3,0.004182666960248958,0.0013469100317068875,0.0029113342140802065
nr_digg_reply,real,B,gpt_6_sol,9,9,0.005190556436302428,0.001423532238695451,0.005190556436302428
nr_digg_reply,real,B,gpt_6_sol_tools,9,9,0.004667222907247568,0.0013598950231277604,0.004386111991857984
nr_digg_reply,real,H,deepseek_flash,3,3,0.0004937283730843755,0.00019929048311091618,-0.0004343277859197932
nr_digg_reply,real,H,gpt_6_sol,9,9,0.00041611081752881995,0.00016295243691699188,-0.00034833245258645987
nr_digg_reply,real,H,gpt_6_sol_tools,9,9,0.0003913774841954866,0.00015394657832601963,-0.0003286213414753488
nr_digg_reply,real,R,deepseek_flash,3,3,0.0007060872061412461,0.00021643728159555564,0.00010536180713707707
nr_digg_reply,real,R,gpt_6_sol,9,9,0.000706059706417709,0.00021642877380463079,0.00010534976963576229
nr_digg_reply,real,R,gpt_6_sol_tools,9,9,0.0007061008175288199,0.000216440996026853,0.00010534643630242898
nr_digg_reply,real,S,deepseek_flash,3,3,0.0008521575474135398,0.00022970394246765694,0.0008521575474135398
nr_digg_reply,real,S,gpt_6_sol,9,9,0.000833000293582291,0.0002271577725259168,0.0006290008807468735
nr_digg_reply,real,S,gpt_6_sol_tools,9,9,0.0005183958491378467,0.00013701190122472745,0.000314396436302429
nr_digg_reply__pwt,surrogate,B,deepseek_flash,3,3,0.006035685199538097,0.001790128605804807,0.003739788931947624
nr_digg_reply__pwt,surrogate,B,gpt_6_sol,9,9,0.004016614800461903,0.0013959005960845908,1.6822265280957367e-05
nr_digg_reply__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.005930017288734921,0.0018047167486900523,0.002103488931947624
nr_digg_reply__pwt,surrogate,H,deepseek_flash,3,3,0.00144894103287143,0.0007192392626817762,0.0002459330986142906
nr_digg_reply__pwt,surrogate,H,gpt_6_sol,9,9,0.001655676576700004,0.0005717894476738496,0.0013334889319476244
nr_digg_reply__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.0017500864436746063,0.0006018648820125392,0.0015057111541698464
nr_digg_reply__pwt,surrogate,R,deepseek_flash,3,3,0.0006531014671285699,0.00024178754741843313,-0.00022651773471904212
nr_digg_reply__pwt,surrogate,R,gpt_6_sol,9,9,0.0006533981337952362,0.00024186446408509972,-0.00022668995694126478
nr_digg_reply__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.0006531014671285699,0.00024178746408509984,-0.00022651773471904212
nr_digg_reply__pwt,surrogate,S,deepseek_flash,3,3,0.0008217488662047636,0.000269208800236823,0.0006626119319476237
nr_digg_reply__pwt,surrogate,S,gpt_6_sol,9,9,0.001498419777007939,0.0004858845349004101,0.0013918222652809574
nr_digg_reply__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.0020292321322555595,0.0006375523111939664,0.0019761555986142912
snap_collegemsg,real,B,deepseek_flash,3,3,0.30418375969552436,0.17873456167170113,0.30418375969552436
snap_collegemsg,real,B,gpt_6_sol,9,9,0.03232782515135456,0.010454661198631787,0.004283759695524398
snap_collegemsg,real,B,gpt_6_sol_tools,9,9,0.054883380706910116,0.016242146352234588,0.03283931525107995
snap_collegemsg,real,H,deepseek_flash,3,3,0.03695468992885772,0.01702612576062051,0.03695468992885772
snap_collegemsg,real,H,gpt_6_sol,9,9,0.046394870806635506,0.017657381847087726,0.046394870806635506
snap_collegemsg,real,H,gpt_6_sol_tools,9,9,0.06306153747330218,0.023190715180421064,0.06306153747330218
snap_collegemsg,real,R,deepseek_flash,3,3,0.0029870174955243987,0.0017337837177506378,0.0029870174955243987
snap_collegemsg,real,R,gpt_6_sol,9,9,0.002986648584413287,0.0017350186121950825,0.002986648584413287
snap_collegemsg,real,R,gpt_6_sol_tools,9,9,0.002986648584413287,0.0017345741677506378,0.002986648584413287
snap_collegemsg,real,S,deepseek_flash,3,3,0.006151624545936309,0.0022360855648215056,-0.005246006971142266
snap_collegemsg,real,S,gpt_6_sol,9,9,0.002591825151354563,0.0014261273722920777,-0.0010433514155867142
snap_collegemsg,real,S,gpt_6_sol_tools,9,9,0.002589952626423216,0.0013572489642048467,-0.0011229069711422692
snap_collegemsg__pwt,surrogate,B,deepseek_flash,3,3,0.33594266994266997,0.19166182372211785,-0.054494676494676465
snap_collegemsg__pwt,surrogate,B,gpt_6_sol,9,9,0.17172399672399674,0.08728887845064316,0.006283101283101321
snap_collegemsg__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.19994266994266996,0.08268111560758619,-0.09316134316134311
snap_collegemsg__pwt,surrogate,H,deepseek_flash,3,3,0.15060933660933662,0.05998013923013923,-0.12316134316134313
snap_collegemsg__pwt,surrogate,H,gpt_6_sol,9,9,0.1346057876057876,0.05307127715951246,-0.1346057876057876
snap_collegemsg__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.08627245427245425,0.03257081948258419,-0.08627245427245425
snap_collegemsg__pwt,surrogate,R,deepseek_flash,3,3,0.015130277557330077,0.01013132503352604,0.0072323760053235415
snap_collegemsg__pwt,surrogate,R,gpt_6_sol,9,9,0.015125663390663383,0.010129789111303812,0.007231434616434619
snap_collegemsg__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.01512488561288562,0.01012898355574826,0.007226656838656864
snap_collegemsg__pwt,surrogate,S,deepseek_flash,3,3,0.029410669942669943,0.015914451100833452,-0.006804009828009772
snap_collegemsg__pwt,surrogate,S,gpt_6_sol,9,9,0.024176003276003253,0.011754741773859413,-0.0015946764946764775
snap_collegemsg__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.025609336609336595,0.012403284434166781,-0.0029613431613431354
snap_email_eu,real,B,deepseek_flash,3,3,0.1625756972111554,0.10140954946879151,-0.0997270916334662
snap_email_eu,real,B,gpt_6_sol,9,9,0.144131252766711,0.09522522410358567,-0.04572709163346617
snap_email_eu,real,B,gpt_6_sol_tools,9,9,0.23221226206285964,0.177665518481629,0.2087173528109783
snap_email_eu,real,H,deepseek_flash,3,3,0.16803957503320047,0.076114931938911,0.16803957503320047
snap_email_eu,real,H,gpt_6_sol,9,9,0.05792939353696323,0.0350632885126162,0.037606241699867156
snap_email_eu,real,H,gpt_6_sol_tools,9,9,0.05681828242585212,0.041160206396635673,0.043161797255422706
snap_email_eu,real,R,deepseek_flash,3,3,0.02827213900935747,0.017125432960053283,0.018268744587046675
snap_email_eu,real,R,gpt_6_sol,9,9,0.02827408056662237,0.017127093404161124,0.018264908366533803
snap_email_eu,real,R,gpt_6_sol_tools,9,9,0.0355813027888446,0.018954621181938903,0.025572130588756032
snap_email_eu,real,S,deepseek_flash,3,3,0.03307160587782204,0.012870187471115535,-0.019143000300132846
snap_email_eu,real,S,gpt_6_sol,9,9,0.033469030544488715,0.012964327689243023,-0.018709313855688397
snap_email_eu,real,S,gpt_6_sol_tools,9,9,0.03309125276671093,0.012881597498893308,-0.019087091633466183
snap_email_eu__pwt,surrogate,B,deepseek_flash,3,3,0.2952037516600266,0.2658762865205843,0.054544588313413
snap_email_eu__pwt,surrogate,B,gpt_6_sol,9,9,0.16843819167773352,0.12217498063302348,-0.11163318946436476
snap_email_eu__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.20593708499335983,0.15571114154493138,-0.04885541168658699
snap_email_eu__pwt,surrogate,H,deepseek_flash,3,3,0.16910375166002653,0.1670886270252324,-0.11802207835325368
snap_email_eu__pwt,surrogate,H,gpt_6_sol,9,9,0.030312361664453266,0.04556406319167772,-0.011633189464364794
snap_email_eu__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.06461847056219566,0.07335235447100485,-0.0005220783532536485
snap_email_eu__pwt,surrogate,R,deepseek_flash,3,3,0.0222145172939399,0.021726381656649446,0.0222145172939399
snap_email_eu__pwt,surrogate,R,gpt_6_sol,9,9,0.022211254980079698,0.021727216135458177,0.022211254980079698
snap_email_eu__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.022210366091190783,0.021725382802124833,0.022210366091190783
snap_email_eu__pwt,surrogate,S,deepseek_flash,3,3,0.04621091500664013,0.03044858067729085,-0.013600745019920368
snap_email_eu__pwt,surrogate,S,gpt_6_sol,9,9,0.036610692784417864,0.017582782757857452,-0.004003189464364769
snap_email_eu__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.035785137228862306,0.01729528275785746,-0.004110967242142537
snap_mathoverflow,real,B,deepseek_flash,3,3,0.05085061015181982,0.01648517315119211,-0.05085061015181982
snap_mathoverflow,real,B,gpt_6_sol,9,9,0.03673511739053854,0.013798723235300025,0.023949389848180187
snap_mathoverflow,real,B,gpt_6_sol_tools,9,9,0.02831646328272673,0.01097736375167418,0.013616056514846858
snap_mathoverflow,real,H,deepseek_flash,3,3,0.1445493898481802,0.05090297640072488,0.1445493898481802
snap_mathoverflow,real,H,gpt_6_sol,9,9,0.011016870050606604,0.0050483143248256064,0.0016160565148468564
snap_mathoverflow,real,H,gpt_6_sol_tools,9,9,0.016598215942794797,0.0063067857594596285,0.00283827873706908
snap_mathoverflow,real,R,deepseek_flash,3,3,0.005350513500359223,0.00259027158730999,-0.003487167823794652
snap_mathoverflow,real,R,gpt_6_sol,9,9,0.005350770050606601,0.0025902301641487473,-0.003486954596264253
snap_mathoverflow,real,R,gpt_6_sol_tools,9,9,0.005350538939495493,0.0025902532197043036,-0.0034871679295975836
snap_mathoverflow,real,S,deepseek_flash,3,3,0.006778647828384378,0.003170975591267434,0.0036987231815135226
snap_mathoverflow,real,S,gpt_6_sol,9,9,0.0010480545962642544,0.0004287439499040694,-0.0010480545962642544
snap_mathoverflow,real,S,gpt_6_sol_tools,9,9,0.0016967338217857796,0.0007039546668368913,-0.00020427681848647782
snap_mathoverflow__pwt,surrogate,B,deepseek_flash,3,3,0.2707377464279255,0.1418183934769965,0.25401323928377645
snap_mathoverflow__pwt,surrogate,B,gpt_6_sol,9,9,0.09919852896846929,0.03854503024456904,0.025657683728220883
snap_mathoverflow__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.1301511424609634,0.04297694982014027,-0.05512009404955689
snap_mathoverflow__pwt,surrogate,H,deepseek_flash,3,3,0.1217377464279255,0.0499966754084524,0.0798799059504431
snap_mathoverflow__pwt,surrogate,H,gpt_6_sol,9,9,0.026309640079580397,0.013548695706654278,-0.0003423162717791084
snap_mathoverflow__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.024056369445951655,0.01036693483084438,-0.015786760716223553
snap_mathoverflow__pwt,surrogate,R,deepseek_flash,3,3,0.0037094432720745085,0.0025979524211260413,-0.002668617082890216
snap_mathoverflow__pwt,surrogate,R,gpt_6_sol,9,9,0.0037098091276300694,0.002597721787792709,-0.002667649605112442
snap_mathoverflow__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.003709364683185618,0.0025976940100149296,-0.0026676496051124357
snap_mathoverflow__pwt,surrogate,S,deepseek_flash,3,3,0.0949759202387412,0.06499602318967017,0.08429957261710978
snap_mathoverflow__pwt,surrogate,S,gpt_6_sol,9,9,0.0015266980165189643,0.0009593480601983358,-0.000495649605112447
snap_mathoverflow__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.0015400313498522926,0.0007817870125080229,-0.0005089829384457752
sp_highschool2013,real,B,deepseek_flash,3,3,0.24235401627134182,0.12429123983041136,-0.12006204881402542
sp_highschool2013,real,B,gpt_6_sol,9,9,0.14842336045223634,0.09590902753905502,-0.0553398265918032
sp_highschool2013,real,B,gpt_6_sol_tools,9,9,0.19896512738245292,0.11821857453878766,-0.12711760436958097
sp_highschool2013,real,H,deepseek_flash,3,3,0.008812650395324861,0.009347914518162026,0.00043795118597456106
sp_highschool2013,real,H,gpt_6_sol,9,9,0.033368205950880414,0.017782571330354074,0.007882395630419013
sp_highschool2013,real,H,gpt_6_sol_tools,9,9,0.02727088346510829,0.013734521217676945,0.013215728963752345
sp_highschool2013,real,R,deepseek_flash,3,3,0.013670234429705755,0.010144413941158113,-0.013670234429705755
sp_highschool2013,real,R,gpt_6_sol,9,9,0.013673048814025443,0.010100031922004506,-0.013673048814025443
sp_highschool2013,real,R,gpt_6_sol_tools,9,9,0.013678159925136553,0.010152420810893396,-0.013678159925136553
sp_highschool2013,real,S,deepseek_flash,3,3,0.07907643643800849,0.05283842216383064,-0.003439280647358748
sp_highschool2013,real,S,gpt_6_sol,9,9,0.06946734960467513,0.04458646480271952,0.00615795118597457
sp_highschool2013,real,S,gpt_6_sol_tools,9,9,0.06912068293800847,0.044473687024941755,0.006504617852641232
sp_highschool2013__pwt,surrogate,B,deepseek_flash,3,3,0.24635301936518852,0.2752584565142661,-0.24635301936518852
sp_highschool2013__pwt,surrogate,B,gpt_6_sol,9,9,0.16258737252205796,0.17502993583132806,-0.054397463809632986
sp_highschool2013__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.160412627477942,0.1816823937206371,0.07504698063481145
sp_highschool2013__pwt,surrogate,H,deepseek_flash,3,3,0.10970454910049272,0.07685551449524465,0.04484698063481144
sp_highschool2013__pwt,surrogate,H,gpt_6_sol,9,9,0.06506313738971004,0.04702048241090867,0.01693586952370033
sp_highschool2013__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.04106313738971005,0.03514168671937665,0.034713647301478114
sp_highschool2013__pwt,surrogate,R,deepseek_flash,3,3,0.01627095221311185,0.014992780085595103,-0.01627095221311185
sp_highschool2013__pwt,surrogate,R,gpt_6_sol,9,9,0.01628746380963296,0.014992812535808423,-0.01628746380963296
sp_highschool2013__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.016269978631855184,0.014993132230252868,-0.016269978631855184
