case_id,strategy,group_id,plugin_rho_k2,plugin_rho_k3,plugin_rho_k4,plugin_rho_k5,hajek_rho_k2,hajek_rho_k3,hajek_rho_k4,hajek_rho_k5,true_rho_k2,occmle_rho_k2,true_rho_k3,occmle_rho_k3,true_rho_k4,occmle_rho_k4,true_rho_k5,occmle_rho_k5
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_hospital,0.13333333333333333,0.09333333333333334,0.04,0.0,0.1177022067307752,0.04581010753998058,0.03996542323553257,0.0,0.1501316944688323,0.1351682176106779,0.0623353819139596,0.0980273897723692,0.0263388937664618,0.0410738891352123,0.0035118525021949,4.3873464800720496e-217
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_hospital,0.10204081632653061,0.04081632653061224,0.02040816326530612,0.0,0.06853066799892521,0.03989745850724382,0.00664957641787397,0.0,0.1501316944688323,0.1147534810813792,0.0623353819139596,0.0458483453592745,0.0263388937664618,0.0458483453592745,0.0035118525021949,4.038817349973056e-42
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_hospital,0.03409090909090909,0.005681818181818182,0.005681818181818182,0.0,0.01397199669979488,0.0011802571628949817,0.0011802571628949817,0.0,0.1501316944688323,0.0749322614883394,0.0623353819139596,0.0194268053235573,0.0263388937664618,0.0194268053235573,0.0035118525021949,4.386446492245663e-13
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_hospital,0.0297723292469352,0.0,0.0,0.0,0.016490070872219494,0.0,0.0,0.0,0.1501316944688323,0.167084809454617,0.0623353819139596,0.0062278420808078,0.0263388937664618,0.0006674280332611,0.0035118525021949,0.0001125197069172
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,real::sp_hospital,0.005025125628140704,0.0,0.0,0.0,0.001742227016917044,0.0,0.0,0.0,0.1501316944688323,0.0166187168243468,0.0623353819139596,1.0046344426864599e-25,0.0263388937664618,3.0334678341843063e-39,0.0035118525021949,2.621100173836572e-47
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_hospital,0.6417910447761194,0.1791044776119403,0.029850746268656716,0.029850746268656716,0.7789347948662996,0.185852031291017,0.001836849453362254,0.001836849453362254,0.5478489903424056,0.6423851320209512,0.1913959613696224,0.193306408596962,0.0614574187884108,0.0377088613719572,0.0175592625109745,0.0377088613719572
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_hospital,0.5365853658536586,0.17073170731707318,0.04878048780487805,0.0,0.21396734205514115,0.027672052626689946,0.0036730528207803135,0.0,0.5478489903424056,0.6409971002873576,0.1913959613696224,0.2243063268025223,0.0614574187884108,0.0661414177539153,0.0175592625109745,1.0586195630570713e-201
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_hospital,0.08050847457627118,0.0,0.0,0.0,0.03194547996553931,0.0,0.0,0.0,0.5478489903424056,0.2183129483026033,0.1913959613696224,7.322420982739672e-29,0.0614574187884108,7.273612243440161e-35,0.0175592625109745,1.987820329738118e-38
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_hospital,0.0824561403508772,0.007017543859649123,0.0,0.0,0.04170317154371824,0.0024531277378657787,0.0,0.0,0.5478489903424056,0.4177814625055025,0.1913959613696224,0.2047570136264725,0.0614574187884108,0.0497814479340292,0.0175592625109745,0.0101424127785804
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,real::sp_hospital,0.0913978494623656,0.0,0.0,0.0,0.04115905807446478,0.0,0.0,0.0,0.5478489903424056,0.2522867804941811,0.1913959613696224,4.5932143721707465e-21,0.0614574187884108,8.59828491863809e-24,0.0175592625109745,9.82583921471718e-25
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_hypertext2009,0.16981132075471697,0.05660377358490566,0.031446540880503145,0.006289308176100629,0.11697007788047269,0.03501578946870552,0.021093681132429955,0.005554146148207085,0.1056466302367941,0.1833741486685796,0.0282331511839708,0.0674538428271035,0.0113843351548269,0.0403514620123111,0.0036429872495446,0.0110312625685261
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_hypertext2009,0.09239130434782608,0.03260869565217391,0.0,0.0,0.037554407211484446,0.012650780184448093,0.0,0.0,0.1056466302367941,0.1572449020936261,0.0282331511839708,0.0725577704513669,0.0113843351548269,1.6649233321886091e-19,0.0036429872495446,3.388656563997457e-22
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_hypertext2009,0.025089605734767026,0.0,0.0,0.0,0.00948109189628148,0.0,0.0,0.0,0.1056466302367941,0.0897604178206553,0.0282331511839708,8.213460948717274e-20,0.0113843351548269,2.477951653741201e-21,0.0036429872495446,6.159156818709375e-22
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_hypertext2009,0.007680491551459293,0.0,0.0,0.0,0.004296516956920257,0.0,0.0,0.0,0.1056466302367941,0.0566179042162794,0.0282331511839708,0.0338047635213618,0.0113843351548269,0.0209029720703032,0.0036429872495446,0.0100774995187679
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,real::sp_hypertext2009,0.00749063670411985,0.0,0.0,0.0,0.0035772801585972304,0.0,0.0,0.0,0.1056466302367941,0.0227506347034759,0.0282331511839708,6.002471890833595e-19,0.0113843351548269,1.87660561295676e-22,0.0036429872495446,2.432009347905785e-23
