model,role,strategy,condition,n,median_width,empirical_coverage,width_vs_log_coverage_slope,inverted_share
qwen36-27b_nothink,confirmatory,time_agnostic_t,mechanism,97,0.1,0.38144329896907214,-0.10052369165812937,0.0
qwen36-27b_nothink,confirmatory,time_agnostic_t,mechanism_direction,96,0.11599999999999999,0.3958333333333333,-0.041956958301298586,0.0
qwen36-27b_nothink,confirmatory,time_agnostic_t,mismatched,96,0.009000000000000001,0.020833333333333332,-0.03761867923395932,0.0
qwen36-27b_nothink,confirmatory,time_respecting,direction_only,96,0.11,0.17708333333333334,0.013427838280590715,0.0
qwen36-27b_nothink,confirmatory,time_respecting,hidden,96,0.0271,0.0,0.018279457751422038,0.0
qwen36-27b_nothink,confirmatory,time_respecting,mechanism,97,0.04000000000000001,0.041237113402061855,0.02007701563311107,0.0
qwen36-27b_nothink,confirmatory,time_respecting,mechanism_direction,96,0.11,0.2604166666666667,-0.021198177270202862,0.0
qwen36-27b_think,confirmatory,event_sample_then_full_history,direction_only,92,0.1,0.5760869565217391,-0.09793938851049498,0.0
qwen36-27b_think,confirmatory,event_sample_then_full_history,hidden,93,0.05810000000000001,0.34408602150537637,-0.08829598892154981,0.0
qwen36-27b_think,confirmatory,event_sample_then_full_history,mechanism,92,0.08849999999999997,0.6304347826086957,-0.1387647258703435,0.0
qwen36-27b_think,confirmatory,event_sample_then_full_history,mechanism_direction,94,0.09950000000000002,0.5851063829787234,-0.1147874765743059,0.0
qwen36-27b_think,confirmatory,event_sample_then_full_history,mismatched,92,0.11499999999999999,0.15217391304347827,-0.04682039657244776,0.0
qwen36-27b_think,confirmatory,node_panel_full_history,direction_only,93,0.06459999999999999,0.7741935483870968,-0.06202910228956276,0.0
qwen36-27b_think,confirmatory,node_panel_full_history,hidden,93,0.06459999999999999,0.6021505376344086,-0.048911156265061415,0.0
qwen36-27b_think,confirmatory,node_panel_full_history,mechanism,92,0.06509999999999996,0.75,-0.06462042919280983,0.0
qwen36-27b_think,confirmatory,node_panel_full_history,mechanism_direction,92,0.06515800000000001,0.8043478260869565,-0.0635216990307926,0.0
qwen36-27b_think,confirmatory,recent_history_k20,direction_only,96,0.07830000000000001,0.09375,-0.005855121989481634,0.0
qwen36-27b_think,confirmatory,recent_history_k20,hidden,96,0.0288,0.0,0.02901221102099343,0.0
qwen36-27b_think,confirmatory,recent_history_k20,mechanism,96,0.034,0.020833333333333332,0.021032363650432866,0.0
qwen36-27b_think,confirmatory,recent_history_k20,mechanism_direction,96,0.08,0.052083333333333336,0.0233216174502013,0.0
qwen36-27b_think,confirmatory,time_agnostic_t,direction_only,96,0.0577,0.0625,-0.03260308873608083,0.0
qwen36-27b_think,confirmatory,time_agnostic_t,hidden,96,0.015845,0.03125,-0.08549259830158326,0.0
qwen36-27b_think,confirmatory,time_agnostic_t,mechanism,96,0.16,0.625,-0.03097985189769852,0.0
qwen36-27b_think,confirmatory,time_agnostic_t,mechanism_direction,96,0.16999999999999998,0.625,0.020746810499641492,0.0
qwen36-27b_think,confirmatory,time_agnostic_t,mismatched,96,0.008400000000000001,0.020833333333333332,-0.05762599740958684,0.0
qwen36-27b_think,confirmatory,time_respecting,direction_only,96,0.06899999999999995,0.0625,-0.014013091160502051,0.0
qwen36-27b_think,confirmatory,time_respecting,hidden,96,0.027249999999999996,0.0,0.018108188921409432,0.0
qwen36-27b_think,confirmatory,time_respecting,mechanism,96,0.03400000000000001,0.041666666666666664,0.03429807648524343,0.0
qwen36-27b_think,confirmatory,time_respecting,mechanism_direction,96,0.10905000000000004,0.21875,0.05239531457134404,0.0
