substrate,n,family,rho_target,rep,hub_bias,seed,path,n_events,deviations,rho_headline,rho_event_weighted,mean_span_frac,C_one_step,lifetime_mean_over_T,burstiness_pooled,share_single_event_pairs,rho_W5_k1,rho_W5_k2,rho_W5_k3,rho_W5_k4,rho_W5_k5
ba,400,ba_n400_fam2,0.18949344335540202,2,False,117072,data_grid/ba/ba_n400_fam2/rho0.19_rep2.csv.gz,4779,0,0.19065656565656566,0.2575852688847039,0.25202020202020203,0.13821138211382114,0.13843654510157613,0.24881565234623712,0.3409090909090909,1.0,0.19065656565656566,0.05176767676767677,0.011994949494949494,0.005681818181818182
ba,400,ba_n400_fam2,0.30556453995013433,0,False,924246,data_grid/ba/ba_n400_fam2/rho0.31_rep0.csv.gz,4779,1,0.3061868686868687,0.4166143544674618,0.28219696969696967,0.1809629219701162,0.18446155254314886,0.20311196632746212,0.3409090909090909,1.0,0.3061868686868687,0.07954545454545454,0.020833333333333332,0.004419191919191919
ba,400,ba_n400_fam2,0.30556453995013433,1,False,349730,data_grid/ba/ba_n400_fam2/rho0.31_rep1.csv.gz,4779,1,0.3068181818181818,0.41703285206110063,0.2833333333333333,0.17454954954954954,0.19266099424570265,0.22374762264132814,0.3409090909090909,1.0,0.3068181818181818,0.08522727272727272,0.020833333333333332,0.003787878787878788
ba,400,ba_n400_fam2,0.30556453995013433,2,False,719871,data_grid/ba/ba_n400_fam2/rho0.31_rep2.csv.gz,4779,1,0.3055555555555556,0.4130571249215317,0.2857323232323232,0.21393307734503567,0.18563609456940636,0.2164172414663117,0.3409090909090909,1.0,0.3055555555555556,0.08775252525252525,0.025883838383838384,0.00946969696969697
ba,400,ba_n400_fam2,0.3262203676272614,0,False,883808,data_grid/ba/ba_n400_fam2/rho0.33_rep0.csv.gz,4779,1,0.32765151515151514,0.4523958987235823,0.2887626262626263,0.1997792494481236,0.1964529356835457,0.2069961032353864,0.3409090909090909,1.0,0.32765151515151514,0.08775252525252525,0.021464646464646464,0.006944444444444444
ba,400,ba_n400_fam2,0.3262203676272614,1,False,104532,data_grid/ba/ba_n400_fam2/rho0.33_rep1.csv.gz,4779,0,0.32702020202020204,0.4379577317430425,0.284469696969697,0.18599439775910365,0.19424582907574792,0.22563219651051084,0.3409090909090909,1.0,0.32702020202020204,0.0763888888888889,0.015151515151515152,0.003787878787878788
ba,400,ba_n400_fam2,0.3262203676272614,2,False,50313,data_grid/ba/ba_n400_fam2/rho0.33_rep2.csv.gz,4779,2,0.32702020202020204,0.4703912952500523,0.2847222222222222,0.18252643294379522,0.1947471470198896,0.21998474733644785,0.3409090909090909,1.0,0.32702020202020204,0.0763888888888889,0.015782828282828284,0.004419191919191919
ba,400,ba_n400_fam2,0.3317348617192402,0,False,478473,data_grid/ba/ba_n400_fam2/rho0.33_rep0.csv.gz,4779,1,0.33207070707070707,0.45218664992676294,0.29166666666666663,0.22059620596205962,0.20060270092018204,0.2188206795445504,0.3409090909090909,1.0,0.33207070707070707,0.08901515151515152,0.029671717171717172,0.007575757575757576
ba,400,ba_n400_fam2,0.3317348617192402,1,False,882301,data_grid/ba/ba_n400_fam2/rho0.33_rep1.csv.gz,4779,1,0.33207070707070707,0.44423519564762504,0.2861111111111111,0.20562293274531424,0.18988400979186426,0.216120445060431,0.3409090909090909,1.0,0.33207070707070707,0.07323232323232323,0.018308080808080808,0.006944444444444444
ba,400,ba_n400_fam2,0.3317348617192402,2,False,617440,data_grid/ba/ba_n400_fam2/rho0.33_rep2.csv.gz,4779,0,0.33207070707070707,0.4348189997907512,0.28674242424242424,0.1969111969111969,0.19565347547921783,0.22013255430106274,0.3409090909090909,1.0,0.33207070707070707,0.07954545454545454,0.018308080808080808,0.003787878787878788
ba,400,ba_n400_fam2,0.5322392550634528,0,False,656688,data_grid/ba/ba_n400_fam2/rho0.53_rep0.csv.gz,4779,0,0.5321969696969697,0.7139568947478552,0.33535353535353535,0.2558139534883721,0.268014335289297,0.14500184796371224,0.3409090909090909,1.0,0.5321969696969697,0.11300505050505051,0.025883838383838384,0.005681818181818182
ba,400,ba_n400_fam2,0.5322392550634528,1,False,902788,data_grid/ba/ba_n400_fam2/rho0.53_rep1.csv.gz,4779,1,0.5321969696969697,0.736346516007533,0.3424242424242424,0.27397888939880677,0.27618675772817874,0.12973717669494117,0.3409090909090909,1.0,0.5321969696969697,0.13131313131313133,0.036616161616161616,0.011994949494949494
ba,400,ba_n400_fam2,0.5322392550634528,2,False,491353,data_grid/ba/ba_n400_fam2/rho0.53_rep2.csv.gz,4779,1,0.5321969696969697,0.7225360954174513,0.3436868686868687,0.2770083102493075,0.27716973663252703,0.13303584382107164,0.3409090909090909,1.0,0.5321969696969697,0.1388888888888889,0.03851010101010101,0.008838383838383838
ba,400,ba_n400_fam3,0.08806374545431465,0,False,843825,data_grid/ba/ba_n400_fam3/rho0.09_rep0.csv.gz,4743,1,0.08838383838383838,0.11764705882352941,0.22512626262626262,0.07983193277310924,0.10412100587722306,0.2697885275559142,0.33964646464646464,1.0,0.08838383838383838,0.026515151515151516,0.00946969696969697,0.0012626262626262627
ba,400,ba_n400_fam3,0.08806374545431465,1,False,715269,data_grid/ba/ba_n400_fam3/rho0.09_rep1.csv.gz,4743,1,0.08838383838383838,0.12207463630613535,0.22411616161616163,0.08022519352568613,0.10050845749732933,0.24101381621876453,0.33964646464646464,1.0,0.08838383838383838,0.023989898989898988,0.006944444444444444,0.0012626262626262627
ba,400,ba_n400_fam3,0.08806374545431465,2,False,482776,data_grid/ba/ba_n400_fam3/rho0.09_rep2.csv.gz,4743,1,0.08838383838383838,0.123550495467004,0.22373737373737373,0.07193229901269393,0.1007767682131836,0.25800990344636854,0.33964646464646464,1.0,0.08838383838383838,0.020833333333333332,0.005681818181818182,0.003787878787878788
ba,400,ba_n400_fam3,0.10442343702120452,0,False,106005,data_grid/ba/ba_n400_fam3/rho0.10_rep0.csv.gz,4743,0,0.10416666666666667,0.1418933164663715,0.2268939393939394,0.08274894810659186,0.10844153614813909,0.2731026787703994,0.33964646464646464,1.0,0.10416666666666667,0.022727272727272728,0.006313131313131313,0.0012626262626262627
ba,400,ba_n400_fam3,0.10442343702120452,1,False,925217,data_grid/ba/ba_n400_fam3/rho0.10_rep1.csv.gz,4743,0,0.10479797979797979,0.1503267973856209,0.2294191919191919,0.08459422283356259,0.11039193465109527,0.24936807990935142,0.33964646464646464,1.0,0.10479797979797979,0.026515151515151516,0.010101010101010102,0.005681818181818182
ba,400,ba_n400_fam3,0.10442343702120452,2,False,603644,data_grid/ba/ba_n400_fam3/rho0.10_rep2.csv.gz,4743,1,0.10479797979797979,0.13620071684587814,0.22739898989898988,0.0839112343966713,0.1069449759624632,0.2745070809046271,0.33964646464646464,1.0,0.10479797979797979,0.02462121212121212,0.005050505050505051,0.0025252525252525255
