graph_id,stratum,length,L,paths,traversal_rho2,traversal_rho2_MCSE,traversal_AE2,traversal_AE2_MCSE,traversal_ProfileAE,traversal_ProfileAE_MCSE,finite_vs_local_stationary_rho2,finite_vs_local_stationary_rho2_MCSE,finite_vs_local_stationary_ProfileAE,finite_vs_local_stationary_ProfileAE_MCSE,plugin_AE2,plugin_AE2_MCSE,edge_traversal_hhi,edge_traversal_hhi_MCSE,max_edge_traversal_share,max_edge_traversal_share_MCSE,node_traversal_hhi,node_traversal_hhi_MCSE,top_degree_one_percent_node_traversal_share,top_degree_one_percent_node_traversal_share_MCSE,repeated_step_fraction,repeated_step_fraction_MCSE,distinct_dyad_coverage,distinct_dyad_coverage_MCSE,cell_coverage,cell_coverage_MCSE,traversal_mean_bias_rho2
copenhagen_bluetooth__pwt,surrogate,primary,8420,32,0.714541270783848,0.0008068769639485813,0.003721886495871074,0.0004536136097813987,0.003915478103543587,0.00031139488187265383,-0.00022045435132112684,0.0008068769639485813,0.003915478103543587,0.00031139488187265383,0.003742939859503625,0.00046224509586581156,0.00013222286322013435,8.797632382243879e-08,0.0004230997624703088,1.0581746510796273e-05,0.0018959892533330326,2.6781579100743255e-06,0.0201083729216152,0.0002412825315251985,0.05443141330166269,0.00034742186052850283,0.10010923550861309,3.6782246518923684e-05,0.10018712741122493,9.132171204119833e-05,-0.0002204543513211199
copenhagen_bluetooth__pwt,surrogate,longer,33680,32,0.715139734263658,0.0004656757817791852,0.0019995175178147244,0.0003041271244693713,0.0019233126885520669,0.0001641234176350095,0.00037800912848885357,0.0004656757817791852,0.0019233126885520669,0.0001641234176350095,0.002012723932165939,0.0002504648928998218,4.254458354020878e-05,2.2323301702876513e-08,0.00016422951306413304,2.9764077964434598e-06,0.0018092021311201978,1.1940404137606026e-06,0.020296726543942996,0.00015219291561140437,0.1878210362232779,0.00027363046332059426,0.3439480384760468,0.000115879215448731,0.34417976449158294,0.00018440449599163575,0.00037800912848884316
sp_workplace__pwt,surrogate,primary,461,32,0.6393031453362256,0.0038828642873155335,0.017632627337571576,0.0025840492554704926,0.01292588230860665,0.0013885520495398463,0.007108479917414184,0.0038828642873155335,0.01292588230860665,0.0013885520495398463,0.017816390112091254,0.002485179804420613,0.002512104686125137,1.0697816586424352e-05,0.006439804772234273,0.00020625723797375775,0.007530432286691668,5.2265840869401664e-05,0.027318329718004335,0.0011833554275663672,0.07504067245119306,0.002267261076235497,0.09976748947122133,0.0002445501535200194,0.10018570384802727,0.00039143389292058996,0.0071084799174141455
sp_workplace__pwt,surrogate,longer,1844,32,0.6324566160520607,0.002195685963623993,0.01077819956616052,0.0010372291659372132,0.007239094409571269,0.0005468101353275737,0.0002619506332493145,0.002195685963623993,0.007239094409571269,0.0005468101353275737,0.009518165876368646,0.0010513856876671218,0.0008063541367676619,2.4636289785040777e-06,0.0025928687635574836,7.196381227557418e-05,0.0058705227953943385,1.6434323141314917e-05,0.028267353579175702,0.0007520945340406468,0.20502304772234273,0.0013748431185074124,0.3429895882077679,0.0005931704984856494,0.3426175109595714,0.0008564920613654168,0.0002619506332492971
snap_email_eu__pwt,surrogate,primary,1742,32,0.6806293053960965,0.0024910094052833596,0.012913101647657365,0.0014879843216891505,0.009746249734843632,0.0006453167415719953,-0.006559439623823885,0.0024910094052833596,0.009746249734843632,0.0006453167415719953,0.011546898341517085,0.001280175961139486,0.0006753647311442425,1.7108475290711126e-06,0.0021885763490241106,6.010500616921033e-05,0.0029387767896804943,1.874304489605216e-05,0.06804319747416762,0.0011064769719026084,0.08146168197474167,0.0013867150788341484,0.0996074296563745,0.00015037709582476873,0.0996635091704323,0.0002902374103358826,-0.006559439623823882
snap_email_eu__pwt,surrogate,longer,6968,32,0.6861052310562572,0.001174630801280714,0.004997509602805771,0.0007822915754197819,0.00419746749404506,0.0004520165412949017,-0.001083513963663154,0.0011746308012807142,0.00419746749404506,0.0004520165412949017,0.004349005984192019,0.0005031565980586584,0.00021552081905341317,3.4205890914838873e-07,0.0008162313432835821,2.4484825791220725e-05,0.00248370600974308,8.196695986535801e-06,0.06784586681974741,0.0005053354321483119,0.2104531429391504,0.0006677773389428849,0.3424777452689243,0.0002896583975195476,0.3433354275910398,0.0004314010014255502,-0.0010835139636631297
snap_collegemsg__pwt,surrogate,primary,1561,32,0.5060257847533632,0.0028330234591587102,0.012419244341890073,0.0018753577294801872,0.007972035290025263,0.0006829446287357844,-0.003912776865718786,0.0028330234591587102,0.007974972923771907,0.0006855543332531096,0.014034313269652304,0.0016362347465540379,0.0008120543960510875,2.904860561455353e-06,0.002962844330557335,0.0001790573332398935,0.0027596896608187813,2.0431962888632314e-05,0.12169682895579756,0.001476260011513201,0.11803331197950032,0.001362901380265527,0.09949053331406273,0.00015374252454072038,0.10016301551492124,0.00031346947043201076,-0.003802225074646559
snap_collegemsg__pwt,surrogate,longer,6244,32,0.5091888212684177,0.001432851202558924,0.006681057549891629,0.000791425248821976,0.004404382492494139,0.00034774463358780547,-0.0007497403506643435,0.001432851202558924,0.0044146495199902215,0.0003478523373422963,0.008582840340983219,0.0011133305250346608,0.00025771858216430986,6.394050555362668e-07,0.0011360906470211404,5.9889247033354265e-05,0.002186069639025149,6.115575819203287e-06,0.11966738068545804,0.0005160578628782418,0.24353379244074314,0.0008309317683948612,0.3413336464807053,0.0003749340917659703,0.34397510488403393,0.0006627765145000402,-0.0006391885595921076
snap_mathoverflow__pwt,surrogate,primary,21046,32,0.3499848546042003,0.0007358999827882175,0.0033541839841921377,0.00044651032345063954,0.0017937872965422255,0.00015681379576979964,-0.000841743387701311,0.0007358999827882175,0.0017941168279022707,0.0001574412551712625,0.005435510707391072,0.0005553224434545658,5.983776490136037e-05,6.299542052537767e-08,0.0004098165922265514,1.929005546407848e-05,0.000833942945252835,2.3301505570114437e-06,0.3491912061674427,0.0005996659657188081,0.1154346431625962,0.0004126622062624664,0.0990316433138638,4.6199657384059775e-05,0.09991976036225493,8.994270274291101e-05,-0.0008019061120232429
snap_mathoverflow__pwt,surrogate,longer,84184,32,0.3501630357312553,0.0003385389944148263,0.0015957817466367898,0.00021216105012511116,0.0009640220880810286,9.831262478277486e-05,-0.0006635622606462905,0.0003385389944148263,0.0009707178259524905,9.78019290724254e-05,0.004672973994341526,0.0002717666608610708,1.8956984818257447e-05,1.423271568315108e-08,0.0001425449016440179,5.333712523364739e-06,0.0007943659090796896,1.1711138244888929e-06,0.3496799050294593,0.00023214372707036523,0.23989044830371567,0.00028080460988401824,0.34039270211611505,0.0001257500839343158,0.343116880639034,0.00016676599818023888,-0.0006237249849682658
nr_digg_reply__pwt,surrogate,primary,11487,32,0.007639070253329851,0.0004125490987148186,0.0013832730765073304,0.0003418896893639542,0.0004400930038642299,9.226322101186114e-05,-3.511382093207021e-05,0.00021143305969589817,0.0002997312060772144,4.018641279264867e-05,0.0017207412284453456,0.0003340936615888148,0.04701179646237162,0.034478798497874795,0.04798359014538173,0.03443941497365743,0.02762537883427164,0.019213532595384476,0.14259597806215724,0.0066482981520932655,0.28867959432401846,0.03298701548074487,0.09595370207269098,0.0044497897578218105,0.09605366141778103,0.004454534408141918,-0.0005107741480558578
nr_digg_reply__pwt,surrogate,longer,45948,32,0.0076703556193958395,0.00036901290741767577,0.000911356315835292,0.00034175191240975555,0.00028688788025213084,9.284984102243203e-05,-3.8284548660826164e-06,9.820927671250356e-05,0.00014553371295977384,1.8504419246848248e-05,0.0013005579181358685,0.000326823592431347,0.0469179836448626,0.03448317425809127,0.04736196352398363,0.03450743551886788,0.027531082380226963,0.01921794679166542,0.14232461151736747,0.006611296052528557,0.3949267378340733,0.02805979076248086,0.32648589337091183,0.015140523351000771,0.3267642249455908,0.01515344018146682,-0.0004794887819898697
dar_a0_r1,synthetic,primary,384,32,0.3907877604166667,0.004833826155214068,0.021453046898313937,0.0030209452626534083,0.00946635055883505,0.0009799384804428045,0.004335954985452122,0.004833826155214068,0.00946635055883505,0.0009799384804428045,0.020159961578102466,0.0026720495747216237,0.003323872884114583,1.9911448975898387e-05,0.009358723958333332,0.0002830437596192433,0.0050640106201171875,4.7168784644684065e-05,0.015380859375,0.0014714646286608259,0.121826171875,0.002729105523113447,0.1006322739480752,0.00031273545833350165,0.10084626234132582,0.0005281589937949394,0.0043359549854521395
dar_a0_r1,synthetic,longer,1536,32,0.38673909505208337,0.00236449986261212,0.010477701822916663,0.0014325360711033917,0.00451773993828801,0.0004909858997464628,0.0002872896208687883,0.00236449986261212,0.00451773993828801,0.0004909858997464628,0.00819846447504405,0.0013212713301233136,0.0010618368784586576,4.300963643060882e-06,0.003519694010416667,9.178942275781638e-05,0.002898428175184462,1.0511216730635258e-05,0.017598470052083336,0.0006218272350310613,0.24965413411458334,0.0018688284405304412,0.34393651148910775,0.0008566160801715176,0.3442978037477332,0.0011616778416847595,0.0002872896208688247
dar_a08_r1,synthetic,primary,207,32,0.7773248792270531,0.00551475016636396,0.02530624568668046,0.00337668727803787,0.03082190303657694,0.002777238121553783,-0.007147170462387817,0.00551475016636396,0.03082190303657694,0.002777238121553783,0.02441302480680088,0.003740939559986344,0.007530805853112091,0.00010839749304027277,0.021739130434782608,0.0009202907753636992,0.009162990968283973,0.00013265623055368783,0.02294685990338164,0.0026983864361793506,0.213768115942029,0.006260533113818216,0.10108695652173913,0.000804925686062342,0.10113134657836645,0.0009884897046126954,-0.007147170462387886
dar_a08_r1,synthetic,longer,828,32,0.781929347826087,0.0035605303185600097,0.015933402346445816,0.0021671348936319742,0.015616642943409243,0.0017346196587521817,-0.002542701863353994,0.0035605303185600097,0.015616642943409243,0.0017346196587521817,0.01138630377441538,0.0014133817695024793,0.0023718829494270566,1.844684104460921e-05,0.0078125,0.0002868709891575932,0.004076656726236317,3.2115631280695395e-05,0.01922931763285024,0.0010138399565396315,0.33186141304347827,0.002721573137058382,0.3436141304347826,0.0013996661847728844,0.343492875777644,0.0016431436314593172,-0.0025427018633539245
dar_a0_r2,synthetic,primary,379,32,0.398004617414248,0.005128819538839218,0.0240124472893367,0.0027973715163472994,0.011092368711587976,0.0009884869074012754,0.0019321098613779165,0.005128819538839218,0.011092368711587976,0.0009884869074012754,0.02210654300336698,0.002589764687259661,0.0033756030659769847,2.277382459215157e-05,0.009152374670184697,0.00035511080524987997,0.005247239646062057,4.696171685694463e-05,0.018593337730870713,0.001303688429781768,0.12236147757255939,0.0032309738358711837,0.10049093655589122,0.0003699513848323804,0.1011185540950455,0.0006655496300497827,0.001932109861377873
dar_a0_r2,synthetic,longer,1516,32,0.39744805408970973,0.002579000361457906,0.012851101343972444,0.0011767896640842545,0.005928299298918284,0.0003988234836547957,0.0013755465368396544,0.002579000361457906,0.005928299298918284,0.0003988234836547957,0.010580382435669274,0.0010362344879530471,0.0010720357088157288,3.7080132659591836e-06,0.003545514511873351,8.24538258575198e-05,0.002925955050264201,1.2080399247063408e-05,0.0188097790237467,0.000688184675971572,0.2480623350923483,0.001411751150825853,0.3443919939577039,0.000646590557296676,0.34522244691607684,0.0009872232663626476,0.0013755465368396336
dar_a08_r2,synthetic,primary,201,32,0.7885572139303483,0.005990010029028036,0.028797486555661,0.003527559320929807,0.031315154717740774,0.0036971798311987297,0.010137175394702796,0.005990010029028036,0.031315154717740774,0.0036971798311987297,0.027799684763787347,0.0031276848816416945,0.007959270810128464,9.509340458674623e-05,0.022232587064676616,0.0009206358645499415,0.009514383926140443,0.00010581551753921605,0.022154850746268655,0.0016315071218776526,0.23072139303482586,0.005374135426869229,0.09930956968529223,0.0006937708547210755,0.10023861780318497,0.000711954901850035,0.010137175394702824
dar_a08_r2,synthetic,longer,804,32,0.7828435945273631,0.002534672769968418,0.012056992853650833,0.0015383099074725583,0.015032204404279187,0.0014306005988392696,0.004423555991717731,0.0025346727699684176,0.015032204404279187,0.0014306005988392696,0.009875474927796665,0.0014597112642314887,0.00246019977847083,1.6458299480916595e-05,0.008201181592039801,0.0002947737440288462,0.004147338942724191,2.5975882883668478e-05,0.021183146766169156,0.00105592153007644,0.33632618159203975,0.00261223843490245,0.342706326268465,0.0013489015424929804,0.3433416700694161,0.0013896043907968873,0.00442355599171762
