h,graph_id,stratum,draws,defined_draws,n_panel,budget_matched,node_share,expected_coverage,realized_coverage,node_selection_abs_rho2,node_selection_profile_abs,dyad_disappearance_abs_rho2,dyad_disappearance_profile_abs,within_dyad_history_abs_rho2,within_dyad_history_profile_abs,net_history_abs_rho2,net_history_profile_abs,total_abs_rho2,total_profile_abs,median_AE2,median_ProfileAE,plugin_AE2,plugin_ProfileAE,homogeneous_AE2,homogeneous_ProfileAE,extratrees_pooled_AE2,extratrees_pooled_ProfileAE,extratrees_real_only_AE2,extratrees_real_only_ProfileAE,history_share_abs_rho2,history_minus_selection_abs_rho2,history_minus_selection_abs_rho2_MCSE,history_share_profile_abs,history_minus_selection_profile_abs,history_minus_selection_profile_abs_MCSE
0.4,copenhagen_bluetooth__pwt,surrogate,3,3,347,True,0.5014450867052023,0.09977315687042017,0.09760681551369456,0.0007433292587689285,0.0034164556502912316,0.1380479766306241,0.13295315754470458,0.2560420786346001,0.5120965665590145,0.11799410200397598,0.37914340901431,0.117653067259391,0.37902033333062796,0.424635379791229,0.41418244638999036,0.117653067259391,0.37902033333062796,0.2700696548369519,0.21972413703722762,0.007199841786837265,0.08034969792163459,0.21385127965038572,0.23191834562154753,0.9937397225890455,0.11725077274520705,0.003118525683773672,0.9910694875080883,0.3757269533640188,0.002064433924651971
0.4,sp_workplace__pwt,surrogate,3,3,100,True,0.4608294930875576,0.10037014507262611,0.10102289332683878,0.018449613418613914,0.010903846203020776,0.15197087034850176,0.10070141707912687,0.2616410948785618,0.32203574496447923,0.10967022453006003,0.22133432788535234,0.11049792904092692,0.22000866569495328,0.21335009870629426,0.19349481119196707,0.11049792904092692,0.22000866569495328,0.3342090102448016,0.2592903555183701,0.06042108441396421,0.06980933358171636,0.11510220317016062,0.1154553237873037,0.8559972154663119,0.09122061111144612,0.01928741748578173,0.9530488635392408,0.21043048168233158,0.009545321151306933
0.4,snap_email_eu__pwt,surrogate,3,3,674,True,0.6835699797160243,0.09990362561836495,0.09891340244383766,0.009497944183800863,0.005428682131261526,0.2363677813450958,0.2557223817098416,0.7574385764601651,0.6100216102110609,0.5210707951150694,0.35429922850121937,0.5144376833106699,0.35084547660455984,0.39706239967598017,0.2799181906222904,0.5144376833106699,0.35084547660455984,0.1291467765834761,0.19784464473001248,0.26989296727100737,0.2131895738996077,0.3166924970068718,0.22727016235772923,0.9820985605063123,0.5115728509312686,0.00427493960132931,0.9849089215187203,0.3488705463699578,0.0017463975983740402
0.4,snap_collegemsg__pwt,surrogate,3,3,1535,True,0.808320168509742,0.10001440145126822,0.09724530990263595,0.0026060059404928357,0.0017437964677685088,0.3630944449462019,0.27511979320380875,0.7177875537187353,0.44199541406308945,0.35469310877253335,0.16687562085928073,0.35486955300511397,0.16772085696062955,0.09098344311549261,0.04343183492900269,0.35486955300511397,0.16772085696062955,0.0036616419515359913,0.03387805077923104,0.1332797200704696,0.047577593587824624,0.16544888920156722,0.05704674252792913,0.9927063744823832,0.35208710283204053,0.002465834878307419,0.9896583887228937,0.16513182439151222,0.001371301248420032
0.4,snap_mathoverflow__pwt,surrogate,3,3,13374,True,0.5401672119229372,0.09999392192790996,0.10097912850779006,0.008021669094456433,0.004998080104504661,0.19840414322343344,0.10519641959791914,0.3997338963844816,0.20983654455584064,0.20132975316104815,0.10464012495792147,0.20204591124832683,0.10489185720203627,0.06805780599629363,0.02597822558307095,0.20204591124832683,0.10489185720203627,0.1462015022568789,0.05323054794595385,0.024638897187401126,0.01711462306781097,0.03884204164990405,0.018872025905440137,0.9616832357381059,0.19330808406659172,0.004918896520015671,0.9544129703540948,0.09964204485341682,0.00422327637376175
0.4,nr_digg_reply__pwt,surrogate,3,3,14239,True,0.46900527009222664,0.1000040631960661,0.0975990130698416,0.0007188220652005174,0.00026827859000628677,0.0055965427385947265,0.001556666363764025,0.010955303868346008,0.0030375324173636466,0.00535876112975128,0.0014808660535996223,0.006077583194951798,0.0017366466941639376,0.41069472231113147,0.1607739242415784,0.006077583194951798,0.0017366466941639376,0.0011301564569073713,0.000490959280384106,0.13644790645316104,0.06240746276631909,0.06512430760342092,0.02027375449453662,0.8817256725012682,0.004639939064550763,0.0002684932681500565,0.8466229817030894,0.0012125874635933356,5.5035668888569096e-05
0.4,dar_a0_r1,synthetic,3,3,250,True,0.5,0.09983981664719727,0.1003425347572033,0.012497517742895758,0.0050190569345759896,0.1508431200147679,0.056112680279238464,0.4325305472311256,0.15195572924605594,0.2816874272163577,0.0958430489668175,0.27651769796134734,0.09277908130919688,0.03196634940298587,0.034292410348295735,0.27651769796134734,0.09277908130919688,0.028475345576974825,0.010981520504770756,0.06649681231889286,0.03162239599560742,0.09413070569643857,0.04037034266818769,0.9575181600655099,0.26918990947346194,0.000552094842320915,0.9502384281021972,0.09082399203224151,0.00010968096693603746
0.4,dar_a08_r1,synthetic,3,3,251,True,0.502,0.10038921913664776,0.10402033580841528,0.02325269800127705,0.013469893597772056,0.08096973426406757,0.1325434056166435,0.11816612109191471,0.4664037285794316,0.03719638682784713,0.3338603229627881,0.052914019363868824,0.3408682563937622,0.42998659366121234,0.3851859201516888,0.052914019363868824,0.3408682563937622,0.21297217359670492,0.28233952515945643,0.02109239238154677,0.01570264849941819,0.2566801995913996,0.20081890625257656,0.6153341598635093,0.01394368882657008,0.01365461500288737,0.9612187683203673,0.32039042936501605,0.0065702508660971295
0.4,dar_a0_r2,synthetic,3,3,248,True,0.496,0.09999338130254441,0.09935962251432423,0.011295288499640047,0.005485942380130829,0.14600308048237223,0.05263789297679161,0.4258789393665363,0.14494151040763936,0.2798758588841641,0.09230361743084775,0.2786582529867719,0.09413586234034854,0.04158705152464143,0.03587594360391408,0.2786582529867719,0.09413586234034854,0.018368922627233664,0.007555477730834717,0.06102319894862753,0.03167003892343869,0.0925413699728858,0.041935909847276624,0.9612073909069317,0.26858057038452404,0.005764793608597746,0.9439005309898642,0.08681767505071691,0.002211918367485482
0.4,dar_a08_r2,synthetic,3,3,247,True,0.49498997995991983,0.1002413944962544,0.10344358241459099,0.011503521387914476,0.01577882580904125,0.05774766481772849,0.09914178328335826,0.11070004305673098,0.4671261116802518,0.052952378239002486,0.36798432839689355,0.04144885685108801,0.35220550258785227,0.4239345825074168,0.39787645418552514,0.04144885685108801,0.35220550258785227,0.2192975444814227,0.27425338653906334,0.015793562847532566,0.02036839469680694,0.2505887879503244,0.21351269151980237,0.8215288056717996,0.04144885685108801,0.010195102770676645,0.9588839479869032,0.3522055025878523,0.002548775692669175
