observation,graph_id,status,status_widened,nll,nll_widened,nll_improvement,max_profile_shift,kappa,kappa_widened
snap_mathoverflow__pwt__B-p888-20260921__s2,snap_mathoverflow__pwt,starts_disagree,starts_disagree,13885.132705248212,13885.132936020887,-0.00023077267542248592,7.686672526097116e-06,1.4039872931879198,1.4040457038586
snap_mathoverflow__pwt__B-p888-20260921__s3,snap_mathoverflow__pwt,starts_disagree,boundary_other,13733.1883001393,13733.187643178062,0.0006569612378370948,1.5362568921428732e-06,1.37337107325955,1.3733535540162105
sp_highschool2013__B-p888-20260921__s1,sp_highschool2013,boundary_other,boundary_other,1263.9070259361515,1263.9067444219365,0.00028151421497568663,1.5049613310558208e-06,2.6237169875876414,2.623668023755857
sp_highschool2013__B-p888-20260921__s2,sp_highschool2013,boundary_other,boundary_other,1264.646819497761,1264.646462809605,0.0003566881559891044,1.5519450031198367e-06,2.620382010195816,2.620333796208234
sp_highschool2013__B-p888-20260921__s3,sp_highschool2013,boundary_other,boundary_other,1273.3156827970329,1273.315350677632,0.0003321194008094608,1.586134780184878e-06,2.5188628176164194,2.518818416721723
sp_highschool2013__pwt__B-p888-20260921__s1,sp_highschool2013__pwt,boundary_other,boundary_other,2113.687274917526,2113.6869703228986,0.0003045946273232403,9.859206280271593e-07,0.9088033595782395,0.9087949180589816
sp_highschool2013__pwt__B-p888-20260921__s2,sp_highschool2013__pwt,boundary_other,boundary_other,2076.7778184993927,2076.77757648227,0.0002420171226731327,9.770722935176224e-07,0.8864118569687567,0.8864037642318686
sp_highschool2013__pwt__B-p888-20260921__s3,sp_highschool2013__pwt,boundary_other,boundary_other,2072.8140586312356,2072.813760098557,0.0002985326786983933,8.395541398753537e-07,0.9284282256545547,0.9284187270243035
sp_hospital__B-p888-20260921__s1,sp_hospital,weakly_identified,weakly_identified,181.7382547233986,181.73825472343924,-4.064304448547773e-11,7.234254208454693e-07,36.37551450564427,36.373591091312264
sp_hospital__B-p888-20260921__s2,sp_hospital,boundary_other,converged,172.83350776156232,172.8334947396847,1.3021877606433918e-05,1.075467635475169e-06,6.106138573597227,6.105899425842272
sp_hospital__B-p888-20260921__s3,sp_hospital,boundary_other,boundary_other,158.43910853372526,158.4390879521718,2.058155345707746e-05,8.46256055342387e-07,4.38008162078148,4.379941522081629
sp_hospital__pwt__B-p888-20260921__s1,sp_hospital__pwt,boundary_other,boundary_other,448.4132933435192,448.41327713257635,1.6210942817451723e-05,8.062784644380372e-07,0.8016948632755904,0.8016874563929312
sp_hospital__pwt__B-p888-20260921__s2,sp_hospital__pwt,boundary_other,converged,464.29891203577165,464.29889368023737,1.835553428009007e-05,8.394193056204813e-07,0.8082747006150232,0.8082707353281857
sp_hospital__pwt__B-p888-20260921__s3,sp_hospital__pwt,boundary_other,converged,438.0398827715551,438.03986022473634,2.254681874092057e-05,1.8914387812651867e-06,0.971857522584324,0.9718418255419755
sp_workplace__B-p888-20260921__s1,sp_workplace,boundary_other,boundary_other,546.623821572854,546.6237761048291,4.546802495042357e-05,1.1996435546612894e-06,4.944310456320825,4.944147833313506
sp_workplace__B-p888-20260921__s2,sp_workplace,boundary_other,boundary_other,586.6595362766197,586.6594296667743,0.00010660984548849228,2.9732883044253366e-06,5.511052966130596,5.510712572953116
sp_workplace__B-p888-20260921__s3,sp_workplace,boundary_other,converged,567.6529974729424,567.6529808423232,1.663061914314312e-05,9.314781463515276e-07,5.0634333648964,5.0632232238370865
sp_workplace__pwt__B-p888-20260921__s1,sp_workplace__pwt,boundary_other,converged,1080.573475007899,1080.5734361326636,3.887523553203209e-05,3.2854693315154115e-05,1.0058215403594013,1.0056718407162082
sp_workplace__pwt__B-p888-20260921__s2,sp_workplace__pwt,boundary_other,converged,1133.8218996317046,1133.8218403886754,5.924302922721836e-05,6.580428963787188e-06,1.2171221534812509,1.217141335050028
sp_workplace__pwt__B-p888-20260921__s3,sp_workplace__pwt,boundary_other,converged,1117.9836885226632,1117.983620401426,6.812123729105224e-05,5.594349055115799e-07,1.1052991588752201,1.105284617297279
