substrate,family,rho_target,rep,hub_bias,rho_headline,strategy,walk_seed,budget,n_observed_events,n_restarts,unique_nodes,unique_edges,edge_revisit_rate,deg_mean_visited,deg_max_visited,discovery_rate_first_half,discovery_rate_second_half,return_time_steps_mean,walk_rho_plugin,share_edges_multi_observed,walk_rho_conditional,mean_windows_per_observed_edge,mean_window_gap_revisits,windows_covered_frac,step_dt_mean,step_dt_median
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,1,400,399,1,281,332,0.1679197994987469,8.97508896797153,16.0,0.8592964824120602,0.805,41.47761194029851,0.009036144578313253,0.1746987951807229,0.05172413793103448,1.0090361445783131,2.6666666666666665,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,1,800,799,1,478,636,0.20400500625782225,8.864016736401673,16.0,0.8320802005012531,0.76,84.29447852760737,0.007861635220125786,0.20754716981132076,0.03787878787878788,1.0078616352201257,3.0,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,1,1600,1599,1,722,1182,0.2607879924953096,8.502770083102494,16.0,0.7959949937421777,0.6825,237.01918465227817,0.01015228426395939,0.2715736040609137,0.037383177570093455,1.0101522842639594,2.9166666666666665,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,1,3200,3199,1,908,1976,0.38230697092841515,8.222466960352422,16.0,0.7392120075046904,0.49625,575.8569092395749,0.012651821862348178,0.4063765182186235,0.031133250311332503,1.01417004048583,2.4,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,0,50,40,10,37,27,0.32499999999999996,8.405405405405405,13.0,0.7,0.65,1.0,0.0,0.2962962962962963,0.0,1.0,,0.8,0.10621262825088329,0.019738569164244102
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,0,100,78,22,71,51,0.34615384615384615,8.098591549295774,13.0,0.6923076923076923,0.6153846153846154,3.5185185185185186,0.0,0.27450980392156865,0.0,1.0,,1.0,0.11205657731458994,0.029545735780041438
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,0,200,155,45,138,101,0.34838709677419355,8.384057971014492,14.0,0.6493506493506493,0.6538461538461539,10.12962962962963,0.0,0.27722772277227725,0.0,1.0,,1.0,0.12719373676983126,0.046140834414197585
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,0,400,313,87,259,198,0.36741214057507987,8.467181467181467,15.0,0.6538461538461539,0.6114649681528662,21.434782608695652,0.005050505050505051,0.32323232323232326,0.015625,1.005050505050505,1.0,1.0,0.12790763712108666,0.04428169748014285
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,0,800,623,177,426,348,0.4414125200642055,8.408450704225352,16.0,0.6302250803858521,0.48717948717948717,59.28727272727273,0.0028735632183908046,0.4051724137931034,0.0070921985815602835,1.0028735632183907,1.0,1.0,0.12348647651389313,0.042681405380826765
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,0,1600,1242,358,644,606,0.5120772946859904,8.343167701863354,16.0,0.5587761674718197,0.4170692431561997,126.32704402515724,0.0049504950495049506,0.4075907590759076,0.012145748987854251,1.004950495049505,1.3333333333333333,1.0,0.12532085672429635,0.04567584934146374
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,0,3200,2495,705,852,997,0.6004008016032064,8.246478873239436,16.0,0.4883720930232558,0.3108974358974359,287.14953271028037,0.006018054162487462,0.485456369107322,0.012396694214876033,1.0060180541624875,1.1666666666666667,1.0,0.12595409364624022,0.048266208339907246
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,1,50,36,14,38,25,0.3055555555555556,8.289473684210526,15.0,0.7222222222222222,0.6666666666666666,1.0,0.04,0.32,0.125,1.04,1.0,0.8,0.2123195821765161,0.08856358269983394
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,1,100,76,24,75,53,0.3026315789473685,8.626666666666667,15.0,0.6842105263157895,0.7105263157894737,1.0,0.018867924528301886,0.2641509433962264,0.07142857142857142,1.0188679245283019,1.0,0.8,0.17574139325422675,0.07893917081867752
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,1,200,154,46,140,103,0.3311688311688312,8.557142857142857,15.0,0.7012987012987013,0.6363636363636364,3.9019607843137254,0.009708737864077669,0.32038834951456313,0.030303030303030304,1.0097087378640777,1.0,0.8,0.14133010806168825,0.0423627311234534
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,1,400,307,93,253,195,0.3648208469055375,8.4901185770751,16.0,0.6666666666666666,0.6038961038961039,23.741071428571427,0.005128205128205128,0.35384615384615387,0.014492753623188406,1.005128205128205,1.0,1.0,0.14418047973240616,0.06110921531213831
