stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_AE2_matched,0.013674528038615718,0.001826486651232316,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_AE2_matched,0.0521925160242894,0.0028238725031247713,5,15,15
real,R,qwen_thinking,False,snap_email_eu,extratrees_AE2_matched,0.007021145474114943,0.0029232253655784805,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_AE2_matched,0.01742430338933094,0.003297200690584847,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_AE2_matched,0.046297193059451944,0.009288714531827464,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_AE2_matched,0.0439244566273507,0.011512072616444224,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2_vs_extratrees,-0.007831714389175253,0.0030202886859048927,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2_vs_extratrees,-0.04678785882680996,0.0032482446707559876,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_AE2_vs_extratrees,0.015073256839298103,0.006137848314799884,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2_vs_extratrees,-0.011878422833551975,0.0038849302328223647,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_extratrees,-0.019657869488923698,0.008639501170606774,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_extratrees,0.004220204303290202,0.010948956233904421,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_ProfileAE_all,0.017108916767950327,0.0008166430488235834,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_ProfileAE_all,0.020414209617105147,0.0021615245634891357,5,15,15
real,R,qwen_thinking,False,snap_email_eu,extratrees_ProfileAE_all,0.02549278388546037,0.0016863035123610903,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_ProfileAE_all,0.007667553104144626,0.0006679669520817568,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_ProfileAE_all,0.027418256248172526,0.003319034385748114,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_ProfileAE_all,0.02610253382814415,0.005331959992213496,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_ProfileAE_matched,0.017108916767950327,0.0008166430488235834,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_ProfileAE_matched,0.020414209617105147,0.0021615245634891357,5,15,15
real,R,qwen_thinking,False,snap_email_eu,extratrees_ProfileAE_matched,0.02549278388546037,0.0016863035123610903,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_ProfileAE_matched,0.007667553104144626,0.0006679669520817568,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_ProfileAE_matched,0.027418256248172526,0.003319034385748114,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_ProfileAE_matched,0.02610253382814415,0.005331959992213496,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE_vs_extratrees,-0.011932441877091526,0.0012351165979977913,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE_vs_extratrees,-0.01769140503406617,0.0014460401910503732,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE_vs_extratrees,-0.008162574874172176,0.0026083569230092233,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE_vs_extratrees,-0.0051030597930647225,0.0010885610550117164,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE_vs_extratrees,-0.010663510258714516,0.003124985958891855,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE_vs_extratrees,0.005055045334864335,0.005835386638100412,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,median_AE2_all,0.1567993430755243,2.7755575615628914e-17,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,median_AE2_all,0.3157949930747082,1.850371707708594e-17,5,15,15
real,R,qwen_thinking,False,snap_email_eu,median_AE2_all,0.21560074628952602,1.850371707708594e-17,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,median_AE2_all,0.334460623227364,3.700743415417188e-17,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,median_AE2_all,0.19543570347008538,3.700743415417188e-17,5,15,15
real,R,qwen_thinking,False,sp_hospital,median_AE2_all,0.1550009593092644,9.25185853854297e-18,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,median_AE2_matched,0.1567993430755243,2.7755575615628914e-17,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,median_AE2_matched,0.3157949930747082,1.850371707708594e-17,5,15,15
real,R,qwen_thinking,False,snap_email_eu,median_AE2_matched,0.21560074628952602,1.850371707708594e-17,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,median_AE2_matched,0.334460623227364,3.700743415417188e-17,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,median_AE2_matched,0.19543570347008538,3.700743415417188e-17,5,15,15
real,R,qwen_thinking,False,sp_hospital,median_AE2_matched,0.1550009593092644,9.25185853854297e-18,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2_vs_median,-0.15095652942608376,0.0015384115811651025,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2_vs_median,-0.31039033587722886,0.0032595576706026703,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_AE2_vs_median,-0.19350634397611305,0.005853431861014314,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2_vs_median,-0.32891474267158505,0.0013326586232733804,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_median,-0.1687963798995571,0.007797569791681675,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_median,-0.10685629837862355,0.010331125391805389,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,median_ProfileAE_all,0.0900406131195264,0.0,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,median_ProfileAE_all,0.13311101808443856,9.25185853854297e-18,5,15,15
real,R,qwen_thinking,False,snap_email_eu,median_ProfileAE_all,0.13602501333145378,0.0,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,median_ProfileAE_all,0.13551195946354852,0.0,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,median_ProfileAE_all,0.11904067220678091,0.0,5,15,15
real,R,qwen_thinking,False,sp_hospital,median_ProfileAE_all,0.05606046567611099,4.625929269271485e-18,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,median_ProfileAE_matched,0.0900406131195264,0.0,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,median_ProfileAE_matched,0.13311101808443856,9.25185853854297e-18,5,15,15
real,R,qwen_thinking,False,snap_email_eu,median_ProfileAE_matched,0.13602501333145378,0.0,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,median_ProfileAE_matched,0.13551195946354852,0.0,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,median_ProfileAE_matched,0.11904067220678091,0.0,5,15,15
real,R,qwen_thinking,False,sp_hospital,median_ProfileAE_matched,0.05606046567611099,4.625929269271485e-18,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE_vs_median,-0.08486413822866762,0.0010496620555470327,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE_vs_median,-0.13038821350139956,0.0012014960982459715,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE_vs_median,-0.11869480432016562,0.0026360075094416647,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE_vs_median,-0.1329474661524686,0.0005492353014523412,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE_vs_median,-0.10228592621732288,0.0041437634140730865,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE_vs_median,-0.024902886513102487,0.00515028784149717,5,15,15
