JobID|State|ExitCode|Elapsed|Start|End
7066386_5|COMPLETED|0:0|00:51:23|2026-09-20T11:41:09|2026-09-20T12:32:32
7066386_5.batch|COMPLETED|0:0|00:51:23|2026-09-20T11:41:09|2026-09-20T12:32:32
7066386_5.extern|COMPLETED|0:0|00:51:23|2026-09-20T11:41:09|2026-09-20T12:32:32
7066386_5.0|COMPLETED|0:0|00:50:46|2026-09-20T11:41:46|2026-09-20T12:32:32
7066387_0|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_0.batch|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_0.extern|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_0.0|COMPLETED|0:0|00:01:17|2026-09-20T12:39:14|2026-09-20T12:40:31
7066387_1|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_1.batch|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_1.extern|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_1.0|COMPLETED|0:0|00:01:17|2026-09-20T12:39:14|2026-09-20T12:40:31
7066387_2|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_2.batch|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_2.extern|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_2.0|COMPLETED|0:0|00:01:18|2026-09-20T12:39:13|2026-09-20T12:40:31
7066387_3|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_3.batch|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_3.extern|COMPLETED|0:0|00:01:47|2026-09-20T12:38:44|2026-09-20T12:40:31
7066387_3.0|COMPLETED|0:0|00:01:17|2026-09-20T12:39:14|2026-09-20T12:40:31
7066387_4|COMPLETED|0:0|00:01:23|2026-09-20T12:38:44|2026-09-20T12:40:07
7066387_4.batch|COMPLETED|0:0|00:01:23|2026-09-20T12:38:44|2026-09-20T12:40:07
7066387_4.extern|COMPLETED|0:0|00:01:23|2026-09-20T12:38:44|2026-09-20T12:40:07
