stratum,arm,config_id,mock,source,metric,value,MCSE,valid_fraction,limit_fraction,technical_failure_fraction,replacement_fraction,empty_fraction
real,S,qwen_nonthinking,False,sp_hospital,AE2,0.24602206282211236,0.06387664463679732,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,copenhagen_bluetooth,ProfileAE,0.14326883618341088,0.027330000199867692,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,snap_collegemsg,ProfileAE,0.01609035117523477,0.006376234787994365,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,snap_email_eu,ProfileAE,0.21031422907950784,0.061763076980311665,0.8,0.0,0.0,0.2,0.0
real,S,qwen_nonthinking,False,snap_mathoverflow,ProfileAE,0.03172412222334696,0.01744259313698105,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,sp_highschool2013,ProfileAE,0.14855981038730376,0.05130713611486377,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,sp_hospital,ProfileAE,0.15028841437164023,0.04032768905072709,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,copenhagen_bluetooth,delta_AE2,0.11001881878942979,0.01981910944976067,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,snap_collegemsg,delta_AE2,0.03704204205593599,0.019119718710740138,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,snap_email_eu,delta_AE2,0.11590206931790821,0.07469930957226448,0.8,0.0,0.0,0.2,0.0
real,S,qwen_nonthinking,False,snap_mathoverflow,delta_AE2,0.06123325462399405,0.03037347179482377,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,sp_highschool2013,delta_AE2,0.11465709304549533,0.06795499147621469,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,sp_hospital,delta_AE2,-0.046525012284020596,0.0375662456438234,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,copenhagen_bluetooth,delta_ProfileAE,0.12096217615682217,0.02461881129826181,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,snap_collegemsg,delta_ProfileAE,0.01201679155599717,0.006149569193684221,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,snap_email_eu,delta_ProfileAE,0.13250449712728077,0.07008658208120665,0.8,0.0,0.0,0.2,0.0
real,S,qwen_nonthinking,False,snap_mathoverflow,delta_ProfileAE,0.030940153978979628,0.017338468389501174,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,sp_highschool2013,delta_ProfileAE,0.10811099999651859,0.051204290253277294,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,sp_hospital,delta_ProfileAE,0.03355475264178041,0.029255142319527236,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,copenhagen_bluetooth,AE2,0.18544667101722617,0.0379825505864431,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_collegemsg,AE2,0.23173994942708548,0.10633233641049783,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_email_eu,AE2,0.2106262061088978,0.04360367936892067,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_mathoverflow,AE2,0.19134460376765644,0.06966824531712382,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_highschool2013,AE2,0.21541371055345476,0.038558815733658776,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_hospital,AE2,0.214941446356453,0.027538632643171725,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,copenhagen_bluetooth,ProfileAE,0.10874522817804602,0.014998241842031553,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_collegemsg,ProfileAE,0.09138663202480032,0.042474097428658944,1.0,0.0,0.0,0.0,0.0
