stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE
dar_a0,H,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.23337182473068685,0.015685335497112613,0.10283956138327384,0.007881514388791346,0.20686923183747766,0.017992855285192434,0.09288537680685277,0.008966729149125474
dar_a0,H,qwen_nonthinking,False,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,30,0,0,0,0.0,True,0.13040407896520517,0.02347958454480922,0.05489534907618902,0.010012468030439281,0.10390148607199598,0.025040277921585752,0.044941164499767955,0.010441678433732835
dar_a0,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a0,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a0,B,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.26347576126275013,0.030763276333180795,0.09450562798230391,0.0076643703812321225,0.22658263494705239,0.036902363230320506,0.07866516876807418,0.011772981324506599
dar_a0,B,qwen_nonthinking,False,0.7666666666666667,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,30,0,0,0,0.0,True,0.24906840671823122,0.03260958745999813,0.09904896072155217,0.015934250108875194,0.21217528040253353,0.04279615616248392,0.08320850150732244,0.019909607846161664
dar_a08,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.0323698081978957,0.006239456101541007,0.03639772933057485,0.0035846647235247835,-0.00021322947722123657,0.0002124456877570579,0.00239392102627362,0.001411211510320275
dar_a08,R,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.03327311386456237,0.006320785400713841,0.035070902069871485,0.002668709543957144,0.0006900761894454396,0.0006299141105981857,0.0010670937655702594,0.0006470408767343137
dar_a08,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.07553078420749063,0.012493644912174636,0.07960797010879692,0.012287211283510529,0.029934495591295532,0.009493961161516925,0.03826662705880228,0.010728177396164818
dar_a08,S,qwen_nonthinking,False,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,30,0,0,0,0.0,True,0.09404455443015307,0.022235406597393596,0.08866733759816614,0.01553376445028759,0.04844826581395796,0.023762825296655136,0.04732599454817152,0.017608908180785435
dar_a08,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,H,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.1129735157326319,0.01774088733582225,0.1929201530356054,0.005912620223110606,-0.09979313007620516,0.01832934825965984,0.001338969137628324,0.005076584595894953
dar_a08,H,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.15845560261830732,0.010262050446148314,0.18398264179603743,0.009916771905595501,-0.054311043190529734,0.011460850290699163,-0.007598542101939604,0.01033427176635558
dar_a08,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
