family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
ad,R,extratrees_real_only,50,0.16516188777437604,0.01953862736172852,0.1113355114677692,0.014145850391835411,-0.14452662861338955,0.022622851452047423,0.14989780908970665,0.019591262114716755,0.14989780908970665,0.019591262114716755
ad,S,plugin,50,0.13205960622859134,0.007641495472164782,0.11774063028581211,0.010194568365551309,0.13205960622859134,0.007641495472164782,0.10735228435992798,0.007566040504493859,,
ad,S,corrector,50,0.024707321868663347,0.0032771691500500274,0.0172117873402133,0.002573559841764149,-0.00021397769802222535,0.0025838125540462767,,,-0.10735228435992798,0.007566040504493859
ad,S,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.30057243515393,0.018592061499110316,0.19322015079400198,0.024001914319046743
ad,S,extratrees_pooled,50,0.012829241594299831,0.0013085389810667826,0.013440603610973448,0.001584948786426808,-0.00224892707877188,0.0018188952274933716,-0.011878080274363512,0.002721298868339722,-0.11923036463429149,0.0073028842768986055
ad,S,extratrees_real_only,50,0.1722620298335203,0.018515588676857042,0.11356458273913901,0.013388670025676785,-0.13859882107679147,0.023587882937014207,0.14755470796485695,0.016444095515449085,0.04020242360492895,0.019763205720611493
ad,H,plugin,50,0.02408338610302626,0.004937218839654191,0.08734946370084191,0.015214396753482759,-0.019810872476068542,0.005171882007586508,0.009358275374248456,0.002814560009549442,,
ad,H,corrector,50,0.014725110728777809,0.0022294579744440157,0.025564136229933435,0.0041759821188358925,-0.00946497096587744,0.0024413334061258313,,,-0.009358275374248456,0.002814560009549442
ad,H,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.3105546462938155,0.019091472936588427,0.301196370919567,0.01785743028600759
ad,H,extratrees_pooled,50,0.009645818807386632,0.0008362198586601488,0.007951387608933057,0.0007520023591381511,-0.0028318150365932594,0.001352631353855701,-0.005079291921391174,0.0021556222487969013,-0.014437567295639631,0.004844602413826183
