stratum,arm,method,MAE2,MCSE,ProfileMAE,signed_plugin_error,valid_fraction,replacement_fraction,empty_fraction,sources
dar_a08,S,corrector,0.0455962886161951,0.011426534859263237,0.04134134304999463,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.04764412381695495, ""mcse"": 0.015767592169058976}, ""dar_a08_r2"": {""mean"": 0.04354845341543525, ""mcse"": 0.016542243884977086}}"
dar_a08,S,median,0.41580761379269027,0.0,0.39017798937917075,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.4192148497821687, ""mcse"": 0.0}, ""dar_a08_r2"": {""mean"": 0.41240037780321176, ""mcse"": 0.0}}"
dar_a08,S,extratrees,0.23733054555010394,0.000644820646312958,0.20479892221058632,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.24012539718468073, ""mcse"": 0.0006531873741891188}, ""dar_a08_r2"": {""mean"": 0.23453569391552714, ""mcse"": 0.0011119896212850942}}"
dar_a08,H,plugin,0.03334306495694459,0.006669601538120123,0.2121823682823198,-0.03334306495694459,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.04369292311780506, ""mcse"": 0.01219682212989501}, ""dar_a08_r2"": {""mean"": 0.02299320679608412, ""mcse"": 0.005401098836429548}}"
dar_a08,H,corrector,0.21276664580883703,0.0017486648434415022,0.19158118389797701,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.20736351094074515, ""mcse"": 0.003293526961000318}, ""dar_a08_r2"": {""mean"": 0.21816978067692894, ""mcse"": 0.0011764332092886456}}"
dar_a08,H,median,0.41580761379269027,0.0,0.39017798937917075,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.4192148497821687, ""mcse"": 0.0}, ""dar_a08_r2"": {""mean"": 0.41240037780321176, ""mcse"": 0.0}}"
dar_a08,H,extratrees,0.22421440555353528,0.0001820387499602063,0.18381593303260774,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.22770775233426793, ""mcse"": 0.00023423325005874742}, ""dar_a08_r2"": {""mean"": 0.22072105877280263, ""mcse"": 0.00027872425534067595}}"
dar_a08,B,plugin,0.5234492178951824,0.005187365398191079,0.45580180584888097,-0.5234492178951824,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.5220199446701599, ""mcse"": 0.007968137697663828}, ""dar_a08_r2"": {""mean"": 0.5248784911202048, ""mcse"": 0.006644081631683115}}"
dar_a08,B,corrector,0.19918961582688516,0.0074115490327537285,0.17487461028493106,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.2016649987950783, ""mcse"": 0.0071627235634768435}, ""dar_a08_r2"": {""mean"": 0.19671423285869202, ""mcse"": 0.012977658780106083}}"
dar_a08,B,median,0.41580761379269027,0.0,0.39017798937917075,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.4192148497821687, ""mcse"": 0.0}, ""dar_a08_r2"": {""mean"": 0.41240037780321176, ""mcse"": 0.0}}"
dar_a08,B,extratrees,0.2991766665383845,0.0019875272612220178,0.2639964036697977,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.30043158848433976, ""mcse"": 0.0032248906337874394}, ""dar_a08_r2"": {""mean"": 0.29792174459242926, ""mcse"": 0.0023240350377119593}}"
ad_memoryless,R,plugin,0.008683229207563268,0.0016244395586258373,0.0025003103759337775,0.0006580667403824854,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.006070114647681741, ""mcse"": 0.0024075865429676944}, ""ad_memoryless_r2"": {""mean"": 0.011296343767444794, ""mcse"": 0.0021814542297822538}}"
ad_memoryless,R,corrector,0.008683229207563268,0.0016244395586258373,0.0025003103759337775,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.006070114647681741, ""mcse"": 0.0024075865429676944}, ""ad_memoryless_r2"": {""mean"": 0.011296343767444794, ""mcse"": 0.0021814542297822538}}"
ad_memoryless,R,median,0.3082312409654201,0.0,0.12644406974012248,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.30526938293093864, ""mcse"": 0.0}, ""ad_memoryless_r2"": {""mean"": 0.3111930989999016, ""mcse"": 0.0}}"
ad_memoryless,R,extratrees,0.023043673815978723,0.004331489460754513,0.008945679976495135,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.01706409410147987, ""mcse"": 0.002640328993260435}, ""ad_memoryless_r2"": {""mean"": 0.029023253530477574, ""mcse"": 0.00825081005731304}}"
ad_memoryless,S,plugin,0.036818938479705646,0.004236871474076483,0.01004116837747914,0.036818938479705646,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.04333407010863634, ""mcse"": 0.003490989513084938}, ""ad_memoryless_r2"": {""mean"": 0.03030380685077495, ""mcse"": 0.007721224758476021}}"
ad_memoryless,S,corrector,0.005788657943574144,0.0015130623713639016,0.0016184839552265701,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.004514866145778043, ""mcse"": 0.0008994809174789066}, ""ad_memoryless_r2"": {""mean"": 0.007062449741370246, ""mcse"": 0.0028893537404825875}}"
ad_memoryless,S,median,0.3082312409654201,0.0,0.12644406974012248,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.30526938293093864, ""mcse"": 0.0}, ""ad_memoryless_r2"": {""mean"": 0.3111930989999016, ""mcse"": 0.0}}"
ad_memoryless,S,extratrees,0.03126566126073788,0.0038294405017856724,0.011552562658182344,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.036503373483537584, ""mcse"": 0.0028442342434010005}, ""ad_memoryless_r2"": {""mean"": 0.02602794903793818, ""mcse"": 0.007111173587779386}}"
ad_memoryless,H,plugin,0.021150267792714943,0.0026671792620573892,0.00572680688022444,-0.021150267792714946,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.02093471752492051, ""mcse"": 0.005059092192635445}, ""ad_memoryless_r2"": {""mean"": 0.02136581806050938, ""mcse"": 0.0016914393427525194}}"
ad_memoryless,H,corrector,0.010158422147028185,0.004048953678470058,0.0028364094066836943,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.014012340875620236, ""mcse"": 0.007893881991350837}, ""ad_memoryless_r2"": {""mean"": 0.006304503418436133, ""mcse"": 0.0018063030388646925}}"
ad_memoryless,H,median,0.3082312409654201,0.0,0.12644406974012248,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.30526938293093864, ""mcse"": 0.0}, ""ad_memoryless_r2"": {""mean"": 0.3111930989999016, ""mcse"": 0.0}}"
ad_memoryless,H,extratrees,0.01428681442981665,0.0044441238881814706,0.005842957718197394,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.017334019940594064, ""mcse"": 0.008728820310490918}, ""ad_memoryless_r2"": {""mean"": 0.011239608919039235, ""mcse"": 0.0016759011072202343}}"
ad_memoryless,B,plugin,0.04194532612560399,0.0003599384806215888,0.011027360754423215,-0.04194532612560399,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.04408106447351779, ""mcse"": 0.0005404090500562994}, ""ad_memoryless_r2"": {""mean"": 0.03980958777769019, ""mcse"": 0.00047558479574725615}}"
ad_memoryless,B,corrector,0.011497360563060489,0.0018125377417450967,0.00317196435465669,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.011991848431386886, ""mcse"": 0.0008969543752622534}, ""ad_memoryless_r2"": {""mean"": 0.01100287269473409, ""mcse"": 0.003512356062488477}}"
ad_memoryless,B,median,0.3082312409654201,0.0,0.12644406974012248,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.30526938293093864, ""mcse"": 0.0}, ""ad_memoryless_r2"": {""mean"": 0.3111930989999016, ""mcse"": 0.0}}"
ad_memoryless,B,extratrees,0.008604597565235095,0.0012836476796364048,0.0038274382369260307,,1.0,0.0,0.0,"{""ad_memoryless_r1"": {""mean"": 0.011212217310329207, ""mcse"": 0.002370118877304294}, ""ad_memoryless_r2"": {""mean"": 0.005996977820140983, ""mcse"": 0.0009866823040824938}}"
ad_memory,R,plugin,0.02061619225256227,0.006394236985430691,0.027258639197585997,0.007666174285217398,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.02618682605027418, ""mcse"": 0.01063461508827688}, ""ad_memory_r2"": {""mean"": 0.015045558454850361, ""mcse"": 0.007102818343980986}}"
ad_memory,R,corrector,0.02061619225256227,0.006394236985430691,0.027258639197585997,,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.02618682605027418, ""mcse"": 0.01063461508827688}, ""ad_memory_r2"": {""mean"": 0.015045558454850361, ""mcse"": 0.007102818343980986}}"
ad_memory,R,median,0.4276354071734918,0.0,0.2921615184275111,,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.434296757210781, ""mcse"": 0.0}, ""ad_memory_r2"": {""mean"": 0.42097405713620256, ""mcse"": 0.0}}"
ad_memory,R,extratrees,0.2559383270270588,0.0015216985565541716,0.14409069003385225,,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.2625936477723248, ""mcse"": 0.002727063783588951}, ""ad_memory_r2"": {""mean"": 0.2492830062817928, ""mcse"": 0.0013510696163831495}}"
ad_memory,S,plugin,0.1511332999249013,0.004786363765817801,0.16624446131858636,0.1511332999249013,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.14759188496551143, ""mcse"": 0.006997474629714843}, ""ad_memory_r2"": {""mean"": 0.15467471488429116, ""mcse"": 0.0065324161840341535}}"
ad_memory,S,corrector,0.05158101242196962,0.010140267560780694,0.03714079945235079,,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.04636995894363287, ""mcse"": 0.009169129086491841}, ""ad_memory_r2"": {""mean"": 0.05679206590030637, ""mcse"": 0.018089421677105498}}"
ad_memory,S,median,0.4276354071734918,0.0,0.2921615184275111,,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.434296757210781, ""mcse"": 0.0}, ""ad_memory_r2"": {""mean"": 0.42097405713620256, ""mcse"": 0.0}}"
ad_memory,S,extratrees,0.2614015002943306,0.0024639130082857114,0.1463135201235824,,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.26536435484379445, ""mcse"": 0.0014894864167629936}, ""ad_memory_r2"": {""mean"": 0.25743864574486686, ""mcse"": 0.0046973289712214875}}"
ad_memory,H,plugin,0.13436456222244714,0.00789070066601855,0.21172751090027173,-0.1343645622224471,1.0,0.0,0.0,"{""ad_memory_r1"": {""mean"": 0.13017044341068024, ""mcse"": 0.013065743682833213}, ""ad_memory_r2"": {""mean"": 0.138558681034214, ""mcse"": 0.008850930460540652}}"
