stratum,arm,config_id,mock,source,metric,value,MCSE,MCSE_model_repeats,MCSE_sampler,draws,withheld_fallback_only,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,empty_fraction
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_plugin,-0.0010518558503421205,0.001062141530211882,0.0010600054507197364,6.73281118500042e-05,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_plugin,-5.579382295432348e-07,4.3512369194933236e-06,2.581782416165811e-06,3.5025222747526917e-06,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2_vs_extratrees,-0.0022733630079110815,0.004521041162228971,4.220065047256898e-06,0.0045210391926657385,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2_vs_extratrees,-0.013377712938940278,0.00862488030598495,0.001941190303130378,0.008403590928858904,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,delta_AE2_vs_extratrees,0.004033022996654712,0.003293296411791683,3.87183562552443e-06,0.003293294135786973,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2_vs_extratrees,-0.04427284117773964,0.004214873099797635,2.3154119806202894e-05,0.0042148095015236125,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_extratrees,0.006104911646980804,0.0058581039990248185,0.0010600054507197364,0.005761403553634741,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_extratrees,0.010848696953120048,0.015603959236585386,2.581782416165811e-06,0.015603959022998552,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2_vs_median,-0.14118721314496468,0.00503935410976788,4.220065047256898e-06,0.0050393523427803115,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2_vs_median,-0.3029441627103974,0.003207918109462083,0.0019411903031303773,0.0025539222392327024,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,delta_AE2_vs_median,-0.20067926793627244,0.005081994238265784,3.87183562552443e-06,0.005081992763341514,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2_vs_median,-0.3296746158029388,0.002229149652422448,2.3154119806201915e-05,0.0022290293985569413,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_median,-0.18469829370728028,0.005497742331510716,0.0010600054507197364,0.005394586099797587,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_median,-0.09474786571195688,0.020700507524124986,2.581782416165811e-06,0.020700507363124093,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,shrink_plugin_AE2,0.015610358299435,0.005039297988916989,2.1100325236262822e-06,0.005039297547165235,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,shrink_plugin_AE2,0.011379891116741965,0.0029969978076961022,0.00044822479902169505,0.002963290466504626,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,shrink_plugin_AE2,0.014920223064893424,0.005082396728561899,1.9359178127620876e-06,0.005082396359860073,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,shrink_plugin_AE2,0.004795914661835247,0.0022253165403289285,1.1577059903101445e-05,0.0022252864256867054,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,shrink_plugin_AE2,0.01126333768797615,0.005613170721973452,0.0005300027253598699,0.005588092936336248,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,shrink_plugin_AE2,0.060253372566422346,0.02070197286785854,1.2908912080829055e-06,0.020701972827611166,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,shrink_median_AE2,0.08387501962416094,0.00375334195812783,2.110032523626289e-06,0.0037533413650247165,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,shrink_median_AE2,0.15466872838511633,0.0026588194975857337,0.0014931517028967099,0.0021999588889064967,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,shrink_median_AE2,0.10246785229482946,0.0036418922239834467,1.935917812762215e-06,0.0036418917094462487,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,shrink_median_AE2,0.16693718587110543,0.0016286230563421747,1.1577059903101865e-05,0.0016285819080824047,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,shrink_median_AE2,0.09406357614205536,0.0033798828654917085,0.0005300027253598699,0.003338069096881542,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,shrink_median_AE2,0.08205631564790115,0.018133974965312123,1.2908912080829055e-06,0.018133974919365217,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,signed_rho2,-0.010950696172797666,0.00750668391625565,4.220065047256898e-06,0.007506682730049423,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,signed_rho2,-0.006457536304475601,0.00531763899517147,0.0029863034057934132,0.004399917777813002,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,signed_rho2,0.01066504169986715,0.007283784447966894,3.87183562552443e-06,0.007283783418892498,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,signed_rho2,-0.0005862514851531414,0.0032572461126843546,2.3154119806202894e-05,0.0032571638161648145,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,signed_rho2,0.007308551185974569,0.006759765730983418,0.0010600054507197364,0.006676138193763086,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,signed_rho2,-0.009111671986537891,0.036267949930624245,2.581782416165811e-06,0.03626794983873043,5,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
