stratum_group,arm,method,budget_fraction,graphs,AE2,AE2_between_graph_se,signed_2,signed_2_between_graph_se,ProfileAE,ProfileAE_between_graph_se,dyad_coverage,dyad_coverage_between_graph_se,window_coverage,window_coverage_between_graph_se,event_coverage,event_coverage_between_graph_se
real,S,plugin,0.02,6,0.3271856624382508,0.04866184818250492,0.3241771754613705,0.0494807245192158,0.2870879997639331,0.07512644324848687,0.0035371205633602004,0.0008261844139835369,0.005205951283465877,0.000856917270544826,0.02133736061607899,0.0008925645859654565
real,S,plugin,0.05,6,0.3353767974788719,0.051652505414381385,0.3348249349428127,0.05163590085863386,0.2885177432866814,0.07383898667128065,0.009081220196996522,0.002137755400787971,0.013624377167562369,0.002183100727123425,0.05091324757022698,0.001209301435678321
real,S,plugin,0.1,6,0.3224672121361402,0.05235649173203104,0.3224672121361402,0.05235649173203104,0.2643240127787455,0.07563802586037974,0.019070706571362627,0.004778622679069988,0.02742942267125956,0.004881234681029729,0.09810908094840547,0.0022859688735168836
real,S,plugin,0.2,6,0.313147570578255,0.055504724473997256,0.313147570578255,0.055504724473997256,0.26063756910562313,0.07429902325647723,0.04263150298336018,0.011097984525736036,0.06051678316771988,0.010867640161055235,0.2037311365320753,0.0032861490618567896
real,S,plugin,0.3,6,0.310174623418658,0.057870194241939905,0.310174623418658,0.057870194241939905,0.2506868806034547,0.07241463706402941,0.07252717260251902,0.019342000115523287,0.10095192328577361,0.01833818300008846,0.30369513065440124,0.0009002500917178373
real,S,reference,0.02,6,0.17048875664153892,0.05889707313773502,0.07059282639386248,0.029401797869054037,0.10895422355055233,0.04261732947935677,0.0035371205633602004,0.0008261844139835369,0.005205951283465877,0.000856917270544826,0.02133736061607899,0.0008925645859654565
real,S,reference,0.05,6,0.11657067131311995,0.050397519456087544,0.014349535389391316,0.02563351768620575,0.06168189946934601,0.025898952841627024,0.009081220196996522,0.002137755400787971,0.013624377167562369,0.002183100727123425,0.05091324757022698,0.001209301435678321
real,S,reference,0.1,6,0.08808456658381196,0.037290773989382395,0.04431178110706128,0.029013263922225186,0.04210466491612227,0.01689386603562415,0.019070706571362627,0.004778622679069988,0.02742942267125956,0.004881234681029729,0.09810908094840547,0.0022859688735168836
real,S,reference,0.2,6,0.059679554698786004,0.020688582212210215,0.010442182256847317,0.01096545448714642,0.030238289904849322,0.011249932654293042,0.04263150298336018,0.011097984525736036,0.06051678316771988,0.010867640161055235,0.2037311365320753,0.0032861490618567896
real,S,reference,0.3,6,0.041224864754268446,0.016721405933887178,0.005490996676433119,0.005527176287228025,0.018982088596054526,0.007392850800557852,0.07252717260251902,0.019342000115523287,0.10095192328577361,0.01833818300008846,0.30369513065440124,0.0009002500917178373
synthetic,B,mixture,0.02,8,0.1719704825471477,0.02735208696993227,0.05970169057867682,0.023807320507446276,0.1639159435842576,0.03887782138293194,0.07306222873115667,0.01415232469688324,0.034041179695534524,0.0031640453200027616,0.020059953645944487,0.0002107143407620498
synthetic,B,mixture,0.05,8,0.10045061305346939,0.0180730091044435,0.037992480014456896,0.019156062609799407,0.09458284196542277,0.029406890040883024,0.16665310647250942,0.030171965236149585,0.08292746911737241,0.007276017439757913,0.04989354206250109,0.00024251234173605909
synthetic,B,mixture,0.1,8,0.05552572461159581,0.012212078961714591,-0.007458834707653478,0.010529759866451358,0.04217851019689607,0.012321286364466501,0.2948283580455255,0.049216839386951955,0.1604321678832099,0.013397877285004776,0.09989216543153392,0.0003595194214438235
synthetic,B,mixture,0.2,8,0.034831325724926705,0.011150227573511055,-0.013995514756745417,0.014083436576584448,0.026153241826012273,0.007898671767028055,0.47683385687417695,0.06551405216954348,0.30233254692566797,0.02215912032778573,0.20027592448329223,0.00024347022584365871
synthetic,B,mixture,0.3,8,0.02674473077432276,0.008696416365707253,-0.009306116302283368,0.011566132512023035,0.02164004114600097,0.007496856561802937,0.6029347195137003,0.06923273078630063,0.4270820335912925,0.02813294565956087,0.29975723999117243,0.0005832086782141487
synthetic,B,plugin,0.02,8,0.46605899277727614,0.10644827689935665,-0.46605899277727614,0.10644827689935665,0.2652022076855282,0.07821554769021975,0.07306222873115667,0.01415232469688324,0.034041179695534524,0.0031640453200027616,0.020059953645944487,0.0002107143407620498
synthetic,B,plugin,0.05,8,0.42316143919146854,0.09455549199881547,-0.42316143919146854,0.09455549199881547,0.2532695993281885,0.07470077479341743,0.16665310647250942,0.030171965236149585,0.08292746911737241,0.007276017439757913,0.04989354206250109,0.00024251234173605909
synthetic,B,plugin,0.1,8,0.3607003678202919,0.07823247281205135,-0.3607003678202919,0.07823247281205135,0.2337825076325603,0.06905177455010722,0.2948283580455255,0.049216839386951955,0.1604321678832099,0.013397877285004776,0.09989216543153392,0.0003595194214438235
synthetic,B,plugin,0.2,8,0.25879938811461956,0.053320658878266036,-0.25879938811461956,0.053320658878266036,0.19515878205771697,0.057607773043132394,0.47683385687417695,0.06551405216954348,0.30233254692566797,0.02215912032778573,0.20027592448329223,0.00024347022584365871
synthetic,B,plugin,0.3,8,0.18777898596068535,0.037578593901736984,-0.18777898596068535,0.037578593901736984,0.1603103364309957,0.04696814783114653,0.6029347195137003,0.06923273078630063,0.4270820335912925,0.02813294565956087,0.29975723999117243,0.0005832086782141487
synthetic,B,reference,0.02,8,0.16527971480697198,0.027292800657763516,0.07719158698793657,0.026528161760719194,0.1647852523813142,0.03994057797927763,0.07306222873115667,0.01415232469688324,0.034041179695534524,0.0031640453200027616,0.020059953645944487,0.0002107143407620498
synthetic,B,reference,0.05,8,0.12276834519429312,0.024880273815919264,0.09476599403889831,0.03357033348481507,0.11573819643937551,0.03648875043662825,0.16665310647250942,0.030171965236149585,0.08292746911737241,0.007276017439757913,0.04989354206250109,0.00024251234173605909
