budget,graph_id,arm,evidence_block,fit_status,fallback_used,objective
0.1,ad_memory_r2,R,ad_memory,flatness_unavailable,False,288.43306414724856
0.1,ad_memory_r2,R,ad_memory,flatness_unavailable,False,276.93325491937526
0.1,ad_memory_r2,R,ad_memory,flatness_unavailable,False,274.6216606026207
0.1,ad_memory_r2,S1,ad_memory,flatness_unavailable,False,285.79218890156955
0.1,ad_memory_r2,S1,ad_memory,flatness_unavailable,False,312.54436750223476
0.1,ad_memory_r2,S1,ad_memory,flatness_unavailable,False,314.98563896429096
0.1,ad_memoryless_r1,B,ad_memoryless,weakly_identified,False,44.72184711724503
0.1,ad_memoryless_r1,B,ad_memoryless,boundary_other,False,31.825256187921198
0.1,ad_memoryless_r1,B,ad_memoryless,weakly_identified,False,49.95777113010589
0.1,ad_memoryless_r1,H,ad_memoryless,boundary_homogeneous,False,98.15327769724776
0.1,ad_memoryless_r1,H,ad_memoryless,boundary_other,False,119.35003051109896
0.1,ad_memoryless_r1,H,ad_memoryless,boundary_homogeneous,False,163.85647162639629
0.1,ad_memoryless_r1,R,ad_memoryless,starts_disagree,True,nan
0.1,ad_memoryless_r1,R,ad_memoryless,flatness_unavailable,False,335.0126616135464
0.1,ad_memoryless_r1,R,ad_memoryless,boundary_other,False,212.60961543170674
0.1,ad_memoryless_r1,S1,ad_memoryless,flatness_unavailable,False,332.890727844362
0.1,ad_memoryless_r1,S1,ad_memoryless,flatness_unavailable,False,337.0853575126708
0.1,ad_memoryless_r1,S1,ad_memoryless,boundary_homogeneous,False,280.34007580842194
0.1,ad_memoryless_r2,B,ad_memoryless,weakly_identified,False,68.69004478872536
0.1,ad_memoryless_r2,B,ad_memoryless,weakly_identified,False,80.54617227610683
0.1,ad_memoryless_r2,B,ad_memoryless,weakly_identified,False,50.245563623395626
0.1,ad_memoryless_r2,H,ad_memoryless,boundary_other,False,119.67499341586033
0.1,ad_memoryless_r2,H,ad_memoryless,boundary_homogeneous,False,118.57967358301185
0.1,ad_memoryless_r2,H,ad_memoryless,boundary_other,False,187.42843826208136
0.1,ad_memoryless_r2,R,ad_memoryless,boundary_homogeneous,False,132.87146694440997
0.1,ad_memoryless_r2,R,ad_memoryless,boundary_homogeneous,False,146.16750857554095
0.1,ad_memoryless_r2,R,ad_memoryless,boundary_other,False,299.1073407461615
0.1,ad_memoryless_r2,S1,ad_memoryless,flatness_unavailable,False,416.35565523728184
0.1,ad_memoryless_r2,S1,ad_memoryless,flatness_unavailable,False,455.9766619365994
0.1,ad_memoryless_r2,S1,ad_memoryless,boundary_other,False,432.365958056346
0.1,copenhagen_bluetooth,B,real,boundary_other,False,15863.1386960768
0.1,copenhagen_bluetooth,B,real,boundary_other,False,15896.719650463994
0.1,copenhagen_bluetooth,B,real,boundary_other,False,16217.153853576388
0.1,copenhagen_bluetooth,H,real,boundary_other,True,nan
0.1,copenhagen_bluetooth,H,real,boundary_other,True,nan
0.1,copenhagen_bluetooth,H,real,boundary_other,True,nan
0.1,copenhagen_bluetooth,R,real,boundary_other,False,9768.856299002346
0.1,copenhagen_bluetooth,R,real,boundary_other,False,9743.282441604884
0.1,copenhagen_bluetooth,R,real,boundary_other,False,9263.127271515918
0.1,copenhagen_bluetooth,S1,real,flatness_unavailable,False,9838.642722397242
0.1,copenhagen_bluetooth,S1,real,flatness_unavailable,False,9899.022439925962
0.1,copenhagen_bluetooth,S1,real,flatness_unavailable,False,9719.257383513566
0.1,copenhagen_bluetooth__pwt,B,surrogate,boundary_other,False,29895.59973771897
0.1,copenhagen_bluetooth__pwt,B,surrogate,boundary_other,False,29715.321344070224
0.1,copenhagen_bluetooth__pwt,B,surrogate,boundary_other,False,30026.016177871716
0.1,copenhagen_bluetooth__pwt,H,surrogate,boundary_other,False,11899.28789143528
0.1,copenhagen_bluetooth__pwt,H,surrogate,boundary_other,True,nan
0.1,copenhagen_bluetooth__pwt,H,surrogate,boundary_other,False,12274.130789306073
0.1,copenhagen_bluetooth__pwt,R,surrogate,boundary_other,False,12162.986792105614
0.1,copenhagen_bluetooth__pwt,R,surrogate,boundary_other,False,12237.578929942712
0.1,copenhagen_bluetooth__pwt,R,surrogate,boundary_other,False,11020.619818364441
0.1,copenhagen_bluetooth__pwt,S1,surrogate,boundary_other,False,11400.954116644298
0.1,copenhagen_bluetooth__pwt,S1,surrogate,boundary_other,True,nan
0.1,copenhagen_bluetooth__pwt,S1,surrogate,boundary_other,False,11400.969253725514
0.1,dar_a08_r1,B,dar_a08,weakly_identified,False,242.6918004460333
0.1,dar_a08_r1,B,dar_a08,weakly_identified,False,213.4219837125172
0.1,dar_a08_r1,B,dar_a08,weakly_identified,False,309.42481901501105
0.1,dar_a08_r1,H,dar_a08,boundary_other,False,188.4682391865149
0.1,dar_a08_r1,H,dar_a08,boundary_other,False,254.99361735968307
0.1,dar_a08_r1,H,dar_a08,flatness_unavailable,False,196.06126073072997
0.1,dar_a08_r1,R,dar_a08,flatness_unavailable,False,257.60460972288763
0.1,dar_a08_r1,R,dar_a08,flatness_unavailable,False,258.71640419694637
0.1,dar_a08_r1,R,dar_a08,flatness_unavailable,False,246.76785203841519
0.1,dar_a08_r1,S1,dar_a08,flatness_unavailable,False,277.1440841653829
0.1,dar_a08_r1,S1,dar_a08,flatness_unavailable,False,255.61411693314898
0.1,dar_a08_r1,S1,dar_a08,flatness_unavailable,False,233.7045452895616
0.1,dar_a08_r2,B,dar_a08,boundary_homogeneous,False,221.12447983445003
0.1,dar_a08_r2,B,dar_a08,boundary_homogeneous,False,259.37126394727215
0.1,dar_a08_r2,B,dar_a08,weakly_identified,False,257.2157896894412
0.1,dar_a08_r2,H,dar_a08,flatness_unavailable,False,240.74921124231952
0.1,dar_a08_r2,H,dar_a08,boundary_other,False,226.58884643089308
0.1,dar_a08_r2,H,dar_a08,flatness_unavailable,False,175.36600232348115
0.1,dar_a08_r2,R,dar_a08,flatness_unavailable,False,228.60501086022302
0.1,dar_a08_r2,R,dar_a08,flatness_unavailable,False,249.18656735045
0.1,dar_a08_r2,R,dar_a08,flatness_unavailable,False,240.62599926684385
0.1,dar_a08_r2,S1,dar_a08,flatness_unavailable,False,257.4558945256728
0.1,dar_a08_r2,S1,dar_a08,flatness_unavailable,False,237.41400155186096
0.1,dar_a08_r2,S1,dar_a08,flatness_unavailable,False,252.93732489695057
0.1,dar_a0_r1,B,dar_a0,boundary_other,False,145.88341840137025
0.1,dar_a0_r1,B,dar_a0,weakly_identified,False,152.65964172566572
0.1,dar_a0_r1,B,dar_a0,weakly_identified,False,155.49833240737723
0.1,dar_a0_r1,H,dar_a0,flatness_unavailable,False,212.84030028940245
0.1,dar_a0_r1,H,dar_a0,flatness_unavailable,False,210.5854685246291
0.1,dar_a0_r1,H,dar_a0,boundary_homogeneous,False,219.99832632136363
0.1,dar_a0_r1,R,dar_a0,boundary_homogeneous,False,329.72765409163253
0.1,dar_a0_r1,R,dar_a0,flatness_unavailable,False,300.26887755992766
0.1,dar_a0_r1,R,dar_a0,boundary_homogeneous,False,316.0001185464129
0.1,dar_a0_r1,S1,dar_a0,flatness_unavailable,False,335.59194267492495
0.1,dar_a0_r1,S1,dar_a0,flatness_unavailable,False,283.77536197113864
0.1,dar_a0_r1,S1,dar_a0,flatness_unavailable,False,305.9304007960188
0.1,dar_a0_r2,B,dar_a0,weakly_identified,False,138.98255630615887
0.1,dar_a0_r2,B,dar_a0,boundary_homogeneous,False,139.61124355633552
0.1,dar_a0_r2,B,dar_a0,weakly_identified,False,160.1893080062082
0.1,dar_a0_r2,H,dar_a0,boundary_homogeneous,False,226.46690227857732
0.1,dar_a0_r2,H,dar_a0,flatness_unavailable,False,275.70609567033085
0.1,dar_a0_r2,H,dar_a0,boundary_homogeneous,False,261.1978175716111
0.1,dar_a0_r2,R,dar_a0,flatness_unavailable,False,277.1761414124811
0.1,dar_a0_r2,R,dar_a0,boundary_homogeneous,False,304.91378017651846
0.1,dar_a0_r2,R,dar_a0,boundary_homogeneous,False,261.5441268452593
0.1,dar_a0_r2,S1,dar_a0,boundary_homogeneous,False,306.478876927357
0.1,dar_a0_r2,S1,dar_a0,flatness_unavailable,False,278.82717807243404
0.1,dar_a0_r2,S1,dar_a0,flatness_unavailable,False,304.08533785461134
0.1,nr_digg_reply,B,real,boundary_other,True,nan
0.1,nr_digg_reply,B,real,weakly_identified,False,131.74197957776835
0.1,nr_digg_reply,B,real,starts_disagree,True,nan
0.1,nr_digg_reply,H,real,boundary_other,False,103.66668714675573
0.1,nr_digg_reply,H,real,starts_disagree,True,nan
0.1,nr_digg_reply,H,real,starts_disagree,True,nan
0.1,nr_digg_reply,R,real,starts_disagree,True,nan
0.1,nr_digg_reply,R,real,flatness_unavailable,False,139.66373576199382
0.1,nr_digg_reply,R,real,boundary_other,False,261.8471152434018
0.1,nr_digg_reply,S1,real,boundary_other,False,716.2600765838492
0.1,nr_digg_reply,S1,real,boundary_other,False,703.7361171583009
0.1,nr_digg_reply,S1,real,boundary_other,False,677.1916435136097
0.1,nr_digg_reply__pwt,B,surrogate,boundary_other,True,nan
0.1,nr_digg_reply__pwt,B,surrogate,starts_disagree,True,nan
0.1,nr_digg_reply__pwt,B,surrogate,starts_disagree,True,nan
0.1,nr_digg_reply__pwt,H,surrogate,boundary_other,False,259.58838700971324
0.1,nr_digg_reply__pwt,H,surrogate,boundary_other,False,341.13806254732367
0.1,nr_digg_reply__pwt,H,surrogate,boundary_other,False,334.0575661669775
0.1,nr_digg_reply__pwt,R,surrogate,boundary_other,False,431.75844894868794
0.1,nr_digg_reply__pwt,R,surrogate,boundary_other,False,377.54376868444166
0.1,nr_digg_reply__pwt,R,surrogate,boundary_other,False,485.4084094912866
0.1,nr_digg_reply__pwt,S1,surrogate,boundary_other,False,1114.9082614116392
0.1,nr_digg_reply__pwt,S1,surrogate,boundary_other,False,1100.2259610750539
0.1,nr_digg_reply__pwt,S1,surrogate,boundary_other,False,1072.5610809068871
0.1,snap_collegemsg,B,real,weakly_identified,False,839.5930597188355
0.1,snap_collegemsg,B,real,boundary_other,False,732.9765364871491
0.1,snap_collegemsg,B,real,weakly_identified,False,789.5568232925442
0.1,snap_collegemsg,H,real,boundary_other,False,572.812019626769
0.1,snap_collegemsg,H,real,boundary_other,False,575.8257120080658
0.1,snap_collegemsg,H,real,boundary_other,False,595.9776264299734
0.1,snap_collegemsg,R,real,boundary_other,False,594.0698692847899
0.1,snap_collegemsg,R,real,boundary_other,False,604.9593280941154
0.1,snap_collegemsg,R,real,boundary_other,False,504.53320724383826
0.1,snap_collegemsg,S1,real,boundary_other,False,672.4439708294443
0.1,snap_collegemsg,S1,real,boundary_other,False,640.006596857543
0.1,snap_collegemsg,S1,real,boundary_other,False,676.4883255786592
0.1,snap_collegemsg__pwt,B,surrogate,converged,False,1952.396258696819
0.1,snap_collegemsg__pwt,B,surrogate,converged,False,1731.24901116106
0.1,snap_collegemsg__pwt,B,surrogate,boundary_other,False,1804.2843354266101
0.1,snap_collegemsg__pwt,H,surrogate,boundary_other,False,1455.4623187556895
0.1,snap_collegemsg__pwt,H,surrogate,flatness_unavailable,False,1407.2209834681096
0.1,snap_collegemsg__pwt,H,surrogate,boundary_other,False,1399.2123489517835
0.1,snap_collegemsg__pwt,R,surrogate,flatness_unavailable,False,1806.0854476356485
0.1,snap_collegemsg__pwt,R,surrogate,flatness_unavailable,False,1948.8667208487802
0.1,snap_collegemsg__pwt,R,surrogate,flatness_unavailable,False,1634.7589087051017
0.1,snap_collegemsg__pwt,S1,surrogate,flatness_unavailable,False,1693.3023811842536
0.1,snap_collegemsg__pwt,S1,surrogate,flatness_unavailable,False,1667.2777330779402
0.1,snap_collegemsg__pwt,S1,surrogate,flatness_unavailable,False,1690.1085903210667
0.1,snap_email_eu,B,real,boundary_other,False,3515.4495354256333
0.1,snap_email_eu,B,real,boundary_other,False,3607.5600713740796
0.1,snap_email_eu,B,real,boundary_other,False,3515.137307425034
0.1,snap_email_eu,H,real,flatness_unavailable,False,1707.2829996358266
0.1,snap_email_eu,H,real,flatness_unavailable,False,1940.4984059310855
0.1,snap_email_eu,H,real,flatness_unavailable,False,1846.1283616889493
0.1,snap_email_eu,R,real,flatness_unavailable,False,2041.751037819379
